Activity to,Scenario,Year,Performance,Value
Production of offshore wind plants,Constant,2011,Average,4.389709830743404
Production of offshore wind plants,Constant,2011,Best,4.391236062950069
Production of offshore wind plants,Constant,2011,Worst,4.38698922413905
Production of offshore wind plants,Constant,2012,Average,4.334114607278848
Production of offshore wind plants,Constant,2012,Best,4.335610746520445
Production of offshore wind plants,Constant,2012,Worst,4.331439061065563
Production of offshore wind plants,Constant,2013,Average,4.4306438881684205
Production of offshore wind plants,Constant,2013,Best,4.432275502674556
Production of offshore wind plants,Constant,2013,Worst,4.427747225696839
Production of offshore wind plants,Constant,2014,Average,4.416123362154305
Production of offshore wind plants,Constant,2014,Best,4.417871487947175
Production of offshore wind plants,Constant,2014,Worst,4.413033861298844
Production of offshore wind plants,Constant,2015,Average,4.559756927112745
Production of offshore wind plants,Constant,2015,Best,4.561813226031782
Production of offshore wind plants,Constant,2015,Worst,4.556143128923839
Production of offshore wind plants,Constant,2016,Average,4.371653487415142
Production of offshore wind plants,Constant,2016,Best,4.37361804466075
Production of offshore wind plants,Constant,2016,Worst,4.368213317205918
Production of offshore wind plants,Constant,2017,Average,4.080048992974212
Production of offshore wind plants,Constant,2017,Best,4.0817852821593785
Production of offshore wind plants,Constant,2017,Worst,4.0770181509213845
Production of offshore wind plants,Constant,2018,Average,4.547536831059197
Production of offshore wind plants,Constant,2018,Best,4.549810241292027
Production of offshore wind plants,Constant,2018,Worst,4.543573302357484
Production of offshore wind plants,Constant,2019,Average,4.060681396166828
Production of offshore wind plants,Constant,2019,Best,4.062464769497947
Production of offshore wind plants,Constant,2019,Worst,4.057577181505755
