Region,,,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
Level,,,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity
Item,,,Services,Transport,Metals,"Agriculture, cattling & fishering",Chemicals,Fuels extraction,Food,Fuels refinery,Other manufacturing,Mining & quarrying,DFIG generators,PMG generators,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Si-cells,Offshore wind plants,Onshore wind plants,PV modules,PV plants,Services,Transport,Metals,"Agriculture, cattling & fishering",Chemicals,Fuels extraction,Food,Fuels refinery,Other manufacturing,Mining & quarrying,DFIG generators,PMG generators,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Si-cells,Offshore wind plants,Onshore wind plants,PV modules,PV plants,Services,Transport,Metals,"Agriculture, cattling & fishering",Chemicals,Fuels extraction,Food,Fuels refinery,Other manufacturing,Mining & quarrying,DFIG generators,PMG generators,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Si-cells,Offshore wind plants,Onshore wind plants,PV modules,PV plants,Services,Transport,Metals,"Agriculture, cattling & fishering",Chemicals,Fuels extraction,Food,Fuels refinery,Other manufacturing,Mining & quarrying,DFIG generators,PMG generators,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Si-cells,Offshore wind plants,Onshore wind plants,PV modules,PV plants,Chemicals,Transport,Metals,Mining products,"Agriculture, cattling & fishering",Primary fuels,Refined fuels,Food,Other manufacturing products,Cement and related products,Services,Construction,DFIG generators,Dysprosium,Electrical machinery,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Si-cells,Neodymium,Offshore wind plants,Onshore wind plants,PMG generators,PV modules,PV plants,Silicon,Chemicals,Transport,Metals,Mining products,"Agriculture, cattling & fishering",Primary fuels,Refined fuels,Food,Other manufacturing products,Cement and related products,Services,Construction,DFIG generators,Dysprosium,Electrical machinery,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Si-cells,Neodymium,Offshore wind plants,Onshore wind plants,PMG generators,PV modules,PV plants,Silicon,Chemicals,Transport,Metals,Mining products,"Agriculture, cattling & fishering",Primary fuels,Refined fuels,Food,Other manufacturing products,Cement and related products,Services,Construction,DFIG generators,Dysprosium,Electrical machinery,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Si-cells,Neodymium,Offshore wind plants,Onshore wind plants,PMG generators,PV modules,PV plants,Silicon,Chemicals,Transport,Metals,Mining products,"Agriculture, cattling & fishering",Primary fuels,Refined fuels,Food,Other manufacturing products,Cement and related products,Services,Construction,DFIG generators,Dysprosium,Electrical machinery,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Si-cells,Neodymium,Offshore wind plants,Onshore wind plants,PMG generators,PV modules,PV plants,Silicon
Region,Level,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Activity,Services,1.5748112236270766e-05,4.4252213769095195e-06,4.139645782563452e-06,1.775609027342419e-06,3.924493710574716e-06,3.8086442993505362e-06,2.8413823553684916e-06,2.4847873102351946e-06,3.915253231416098e-06,5.4886354381075235e-06,3.91525323128306e-06,3.907205135150608e-06,4.8184753610871466e-06,6.513118344568683e-06,5.466290630712836e-06,3.3189792667347014e-06,4.755527206891115e-06,5.742356910331072e-06,0.0,0.0,3.6543382989053403e-06,0.0,4.1021590727145773e-08,5.046649643168335e-08,8.621911217778993e-08,5.067524596159413e-08,1.0430358812362008e-07,4.003913044018656e-08,7.105364449940275e-08,7.7092917469843e-08,1.1071819762394805e-07,6.246966735551202e-08,0.0,3.6690200559394994e-07,3.4018882221911406e-08,6.593484734264209e-08,2.47987370958201e-08,2.7922266197514303e-07,9.42920642065824e-08,6.71375969383007e-07,2.76474036818642e-07,2.0304965664512444e-07,2.4914083870833472e-06,5.506653662764094e-07,6.790404373192455e-08,7.35164342560002e-08,1.5218116896026778e-07,5.35468824530345e-08,2.7078026313399637e-07,5.729520752379608e-08,7.51119103609435e-08,5.8458083167708616e-08,1.9898782579891566e-07,7.515088744350637e-08,0.0,4.493204519204477e-07,5.2139963076598824e-08,7.910937157530571e-08,5.372201455034885e-08,1.6979972676343028e-07,1.0089898669958594e-07,6.860258556952899e-07,0.0,0.0,2.525876357725703e-06,0.0,2.6469650610811018e-08,1.8285161316150617e-08,8.903348369381858e-08,2.1088020576769344e-08,8.806352070509948e-08,2.413012213951581e-08,5.49830760997636e-08,4.182213619758028e-08,9.659885276010595e-08,2.4312446155716922e-08,0.0,3.5801239289865766e-07,8.60222945985753e-09,1.3947023347588855e-08,4.962412859228489e-09,6.006232720803928e-09,1.1274011042765783e-08,6.330995838176293e-07,0.0,0.0,2.4892477380885657e-06,0.0,3.923890678270844e-06,4.4252213769802425e-06,4.139645782606149e-06,5.488635439505594e-06,1.7756090273925121e-06,3.808644299536784e-06,2.4847873104585805e-06,2.841382355297458e-06,3.9252915469199735e-06,4.139645782793823e-06,1.5735599700180737e-05,1.574811223628842e-05,3.91525323128306e-06,5.4886354381075235e-06,3.91525323128306e-06,4.818506080241493e-06,6.513118344568656e-06,5.466290620031528e-06,3.3189792667347027e-06,4.755527206891125e-06,5.742356910331072e-06,5.488635438107519e-06,0.0,0.0,3.907205135150605e-06,3.654338298905339e-06,0.0,5.4886354381075176e-06,1.0535760926254866e-07,5.032077992257961e-08,8.721701666907725e-08,6.567881297525634e-08,5.0731178846356787e-08,4.054967295276122e-08,7.732409756335525e-08,6.95532459699328e-08,1.0756430094085308e-07,8.550407362764471e-08,4.2419253485594455e-08,4.168291812017191e-08,0.0,0.0,1.0610536135748419e-07,3.5343484061261575e-08,6.617095575667149e-08,2.55264179719762e-08,2.0667502388387842e-07,9.390652568427229e-08,6.71375969383007e-07,0.0,2.76474036818642e-07,2.030496566451244e-07,3.669020055939498e-07,2.4914083870833464e-06,5.506653662764097e-07,0.0,2.5329086033172183e-07,7.353463205586351e-08,1.5178399664168018e-07,7.628906208454087e-08,5.3675859279861607e-08,5.752999603257472e-08,6.223458128214635e-08,7.477569418630722e-08,1.951518676847194e-07,1.4878102466430245e-07,6.86332877640918e-08,6.797391867819651e-08,0.0,7.51508874435064e-08,1.9478252762783917e-07,5.731145891289102e-08,7.958849003584372e-08,5.6794745744022843e-08,1.4205016937424476e-07,9.66387072972639e-08,6.860258556952897e-07,7.515088744350637e-08,0.0,0.0,4.4932045192044735e-07,2.5258763577257026e-06,0.0,7.51508874435064e-08,8.815615774865305e-08,1.8788456987037007e-08,8.916822963869742e-08,2.5367812736081646e-08,2.1101030341053106e-08,2.4134364109003224e-08,4.130780555401424e-08,5.505843626635988e-08,9.636490490637769e-08,8.89636649005821e-08,2.6756266541003653e-08,2.6469650610859445e-08,0.0,2.4312446155716942e-08,9.654068623686072e-08,1.0814304663285888e-08,1.5212201921383126e-08,7.2822420063434484e-09,1.0965578261452604e-08,1.2170799692207195e-08,6.330995838176293e-07,0.0,0.0,0.0,3.580123928986576e-07,2.489247738088565e-06,0.0,2.431244615571694e-08
China,Activity,Transport,1.983616465511074e-06,5.164159797563308e-05,1.7011107601572641e-06,6.324773873363228e-07,1.2852059606713895e-06,1.87316402333737e-06,1.1981132547496197e-06,1.2027272610207631e-06,1.5119875231043988e-06,2.9463371882979183e-06,1.5119875230530218e-06,1.5492526874144678e-06,1.1832828965611495e-06,1.6188651311965384e-06,1.595689527684927e-06,7.603853834697697e-06,2.895336506881252e-06,1.8342317901546437e-06,0.0,0.0,1.05271471732907e-06,0.0,2.01081790558696e-08,1.2406481142182942e-07,4.7410265891734046e-08,2.3454691000220964e-08,4.3976397797235503e-08,2.3999147152398965e-08,3.36848329581051e-08,5.1945439606022776e-08,4.953663650604988e-08,5.015674452435523e-08,0.0,1.8892256969059218e-07,1.7023547402781106e-08,7.523757871879427e-08,1.1388583092982798e-08,9.338409188659941e-08,4.29794176154554e-08,3.716247020916706e-07,1.2227825164823396e-07,9.073569764274386e-08,8.145032132682476e-07,1.7079907452982893e-07,2.9813793477888605e-08,1.2653659376193697e-07,7.053874596662902e-08,2.3214896350462962e-08,1.0867791060935469e-07,2.5861861405853288e-08,3.621373923758072e-08,3.483299172951146e-08,8.414850227799726e-08,3.539983638007321e-08,0.0,2.2065437860016337e-07,2.2458546323088486e-08,3.698233278987805e-08,2.415063171323497e-08,6.05142247387058e-08,4.001577526768828e-08,3.632610838167259e-07,0.0,0.0,8.270273135287167e-07,0.0,1.871903721310029e-08,1.1507311862615771e-08,4.161633265564512e-08,1.4091993331702125e-08,3.633636683790028e-08,1.1957119354686352e-08,2.756186560763653e-08,2.1043817959681554e-08,4.125158828918934e-08,1.4298043371955727e-08,0.0,1.8231204569788456e-07,6.119715648028569e-09,9.02631861978285e-09,3.1219523924619328e-09,9.80992976719752e-09,7.893350995066156e-09,3.411855821010148e-07,0.0,0.0,8.117332322081548e-07,0.0,1.2999571296834182e-06,5.16415979764584e-05,1.7011107601748102e-06,2.9463371890484128e-06,6.324773873541661e-07,1.8731640234289707e-06,1.2027272611288899e-06,1.198113254719668e-06,1.5204480480498963e-06,1.7011107602519323e-06,1.9828797796271196e-06,1.9836164655132984e-06,1.5119875230530218e-06,2.9463371882979174e-06,1.5119875230530218e-06,1.183299422615347e-06,1.6188651311965312e-06,1.5956895245668981e-06,7.603853834697701e-06,2.8953365068812566e-06,1.8342317901546437e-06,2.9463371882979166e-06,0.0,0.0,1.5492526874144671e-06,1.0527147173290694e-06,0.0,2.9463371882979157e-06,4.583621021493834e-08,1.1973974874886884e-07,4.7135147843799454e-08,4.631759243091947e-08,2.350225608562673e-08,2.4325711974937694e-08,5.1182774854077684e-08,3.3186996864936825e-08,4.8557600205012693e-08,4.6877776628667846e-08,2.138342894068411e-08,2.083088218497148e-08,0.0,0.0,4.835619525415146e-08,1.7722736461631674e-08,7.444076813384642e-08,1.181900105091266e-08,7.253242719111484e-08,4.285861951319172e-08,3.7162470209167067e-07,0.0,1.2227825164823396e-07,9.073569764274383e-08,1.8892256969059208e-07,8.145032132682473e-07,1.70799074529829e-07,0.0,1.0233789550454375e-07,1.2510879009661712e-07,7.019719054533416e-08,3.600002115030809e-08,2.3287337466788988e-08,2.6012591981096225e-08,3.569350882854275e-08,3.5789590642851877e-08,8.277290566091581e-08,6.890380374281885e-08,3.0407892502504105e-08,2.987867831458523e-08,0.0,3.539983638007324e-08,8.249766503612313e-08,2.5312716136134197e-08,3.721104246186488e-08,2.5957189498081816e-08,5.5507903697732626e-08,4.065429858761395e-08,3.6326108381672584e-07,3.539983638007323e-08,0.0,0.0,2.206543786001632e-07,8.270273135287167e-07,0.0,3.539983638007323e-08,3.657283288256322e-08,1.1950788543628011e-08,4.1567404403845113e-08,1.4725685668822914e-08,1.4103178928905232e-08,1.1965107744758908e-08,2.066561011179613e-08,2.7581891509577837e-08,4.1192721143067694e-08,4.157996362090074e-08,1.879325612030007e-08,1.8719037213134545e-08,0.0,1.429804337195574e-08,4.124367904736338e-08,7.512219584478224e-09,9.86267538287395e-09,4.653850722721414e-09,1.1802065134920081e-08,8.347409868849014e-09,3.411855821010148e-07,0.0,0.0,0.0,1.8231204569788448e-07,8.117332322081545e-07,0.0,1.4298043371955739e-08
China,Activity,Metals,2.0824267144656608e-05,1.2913419971638403e-05,0.0001667736047963454,4.132213255593546e-06,2.0810937186497372e-05,2.4422396264413438e-05,7.56361612989397e-06,1.1678588724084054e-05,3.757494623165444e-05,2.1792581812232683e-05,3.757494623037762e-05,3.599392349056732e-05,1.2640642233470826e-05,1.939794622560568e-05,1.1093445622732383e-05,6.6682740332420036e-06,8.364351991789159e-06,1.6939580748287772e-05,0.0,0.0,6.111911369530978e-05,0.0,3.032904473075519e-07,3.308771024603778e-07,1.5119765017327797e-06,4.375379203898149e-07,9.176097539127461e-07,3.6087351433386223e-07,4.974919606009713e-07,6.239325510564125e-07,1.2243685001122509e-06,5.993311920248682e-07,0.0,2.1747538935845466e-06,2.8774192226871627e-07,5.34912362948133e-07,2.1005555936706893e-07,3.7188293516270646e-06,9.6309035001706e-07,2.932479774585753e-06,2.9468183253071225e-06,2.346795880109717e-06,7.907909947629335e-06,7.678720039864568e-06,9.133080170470524e-07,7.746958365763479e-07,3.9025749541327674e-06,5.087992826947787e-07,2.95664459152553e-06,8.326051081470917e-07,7.807658236811781e-07,6.983534899047255e-07,2.900689688823606e-06,8.791620094084424e-07,0.0,3.7246049655273915e-06,5.364091779089202e-07,8.501373814341595e-07,6.384864217372523e-07,1.096400539014491e-06,6.499367806280156e-07,3.1831357712967626e-06,0.0,0.0,8.885858125212624e-06,0.0,2.988905555310883e-07,2.2154217842284893e-07,1.9129727020395895e-06,2.414819914180292e-07,9.08459296380587e-07,3.461629178890685e-07,7.095673648754423e-07,5.699560481854774e-07,1.3389551391413296e-06,3.118414159879935e-07,0.0,2.317508396884337e-06,1.0110817709142871e-07,1.7009252508845968e-07,6.012212481088403e-08,6.787290170537144e-08,1.3710242011058758e-07,2.6119686932867033e-06,0.0,0.0,8.04371524383411e-06,0.0,2.1901401066630915e-05,1.2913419971844785e-05,0.0001667736047980656,2.1792581817783717e-05,4.1322132557101214e-06,2.442239626560772e-05,1.167858872513398e-05,7.563616129704889e-06,4.335471457764163e-05,0.00016677360480562642,2.0815639170076936e-05,2.0824267144679952e-05,3.757494623037762e-05,2.1792581812232683e-05,3.757494623037762e-05,1.2641047337566324e-05,1.9397946225605594e-05,1.1093445601055441e-05,6.668274033242006e-06,8.364351991789174e-06,1.6939580748287772e-05,2.179258181223268e-05,0.0,0.0,3.59939234905673e-05,6.111911369530975e-05,0.0,2.1792581812232677e-05,1.0353708581643342e-06,3.334659359911393e-07,1.4659055347834623e-06,6.531563831863533e-07,4.3778890353372255e-07,3.666586977185021e-07,6.517773479864363e-07,4.923930602366132e-07,1.1997393144757964e-06,1.4733731038234182e-06,3.202445943803281e-07,3.1279398707152965e-07,0.0,0.0,1.1876050568181032e-06,3.029407219303884e-07,5.421358424040143e-07,2.1850864753901943e-07,2.6899732242097524e-06,9.602066183981879e-07,2.932479774585753e-06,0.0,2.946818325307122e-06,2.3467958801097158e-06,2.1747538935845466e-06,7.90790994762933e-06,7.678720039864574e-06,0.0,2.8336053634786748e-06,7.783873357166097e-07,3.826750975375915e-06,9.08633208834321e-07,5.10974823410925e-07,8.349859177051681e-07,7.570835309803084e-07,7.837482129155386e-07,2.8672554335922675e-06,3.72060579785421e-06,9.234162507741171e-07,9.139045871087478e-07,0.0,8.791620094084429e-07,2.8551492453667964e-06,6.640348488781923e-07,8.678531682478314e-07,7.036332771648053e-07,1.3917583445456369e-06,9.273607442550158e-07,3.1831357712967617e-06,8.791620094084426e-07,0.0,0.0,3.724604965527389e-06,8.885858125212621e-06,0.0,8.791620094084428e-07,9.448281555833798e-07,2.2629862710898813e-07,1.8940610435118703e-06,3.381206181459665e-07,2.416207731440374e-07,3.4613314971155477e-07,5.621585679408453e-07,7.100257233996187e-07,1.3399038859765908e-06,1.9098145660180164e-06,3.0340430548838557e-07,2.988905555316352e-07,0.0,3.1184141598799375e-07,1.3412001000297765e-06,1.275853204805229e-07,1.8479712397674583e-07,8.759491215223913e-08,1.2760515732458e-07,1.4895984884365234e-07,2.6119686932867033e-06,0.0,0.0,0.0,2.317508396884336e-06,8.043715243834106e-06,0.0,3.118414159879937e-07
China,Activity,"Agriculture, cattling & fishering",1.0336525634179355e-06,2.0486366823710102e-06,7.239558152634829e-07,2.479816913089926e-05,1.6902778711387309e-06,7.656107944421899e-07,1.4800749576516126e-05,5.370728376554691e-07,1.3486549663380547e-06,7.519790763988409e-07,1.3486549662922279e-06,1.2903699962509326e-06,5.523919600054132e-07,8.07585239354821e-07,5.59704714529342e-07,5.006431325855312e-07,4.6043601660918304e-07,7.04997527946224e-07,0.0,0.0,5.142142449760026e-07,0.0,9.699122386004335e-09,1.3779341505004868e-08,2.233744682638416e-08,2.5695913517303445e-08,3.1749143255713044e-08,1.0088596837396217e-08,4.428898189749803e-08,1.9921668674981366e-08,3.230894971251397e-08,1.79953664164618e-08,0.0,6.547332088082614e-08,9.094814589937063e-09,1.6905548195155158e-08,6.132946620190009e-09,4.282675193165399e-08,2.7639431912725972e-08,9.788318891625129e-08,8.593863557345375e-08,6.37574783685996e-08,3.1321226443274886e-07,8.252153180422439e-08,2.3339909714485863e-08,2.4209083876715816e-08,3.843244508571102e-08,2.9478334471172723e-08,1.6290340209823874e-07,1.676635338643177e-08,7.767177657197701e-08,1.9426947423686908e-08,6.664405848774199e-08,2.5215762254431898e-08,0.0,9.749984311175319e-08,1.611637347066628e-08,2.3470215503190947e-08,1.6663733364048627e-08,6.812022429467116e-08,2.639411753820489e-08,1.0498175085727265e-07,0.0,0.0,3.2795273881353687e-07,0.0,8.868970067186387e-09,5.833130266912651e-09,2.4677323907777902e-08,9.086553919216958e-09,3.5957551162987796e-08,7.494659266898734e-09,5.201267173572249e-08,1.2915324764267767e-08,3.163193259022529e-08,7.98483148862269e-09,0.0,6.627380497469359e-08,2.6767829689031574e-09,4.393377780901054e-09,1.5380079654276686e-09,1.9792271621949512e-09,3.6366111937309527e-09,8.893895031368602e-08,0.0,0.0,3.140216305857937e-07,0.0,1.6680549605292517e-06,2.0486366824037514e-06,7.239558152709502e-07,7.519790765903856e-07,2.4798169131598858e-05,7.656107944796293e-07,5.370728377037528e-07,1.4800749576146122e-05,1.3207087287700455e-06,7.239558153037715e-07,1.0331840932771368e-06,1.0336525634190947e-06,1.3486549662922279e-06,7.519790763988411e-07,1.3486549662922279e-06,5.524047573041781e-07,8.075852393548174e-07,5.59704713435661e-07,5.006431325855312e-07,4.60436016609184e-07,7.04997527946224e-07,7.519790763988409e-07,0.0,0.0,1.2903699962509318e-06,5.142142449760023e-07,0.0,7.519790763988406e-07,3.150529140274454e-08,1.370198531683048e-08,2.286708026388581e-08,2.2439493429674746e-08,2.5575658661289955e-08,1.0231440351610279e-08,2.0120848020106216e-08,4.218189073959307e-08,3.1242414583744696e-08,2.2217650537205744e-08,1.0162988657551289e-08,9.927722645652853e-09,0.0,0.0,3.074167154866587e-08,9.451890366405097e-09,1.7029159218733475e-08,6.343901293741101e-09,3.399539376958777e-08,2.7521933199480923e-08,9.788318891625129e-08,0.0,8.593863557345375e-08,6.375747836859958e-08,6.547332088082612e-08,3.1321226443274875e-07,8.252153180422444e-08,0.0,1.4778498008033618e-07,2.4253433659882686e-08,3.904940104285251e-08,2.57724703586563e-08,2.958885410940128e-08,1.689713603853275e-08,2.1571291194714675e-08,7.418455145876693e-08,6.546502832924746e-08,3.894368787652714e-08,2.3658072976548843e-08,2.3390146004427663e-08,0.0,2.5215762254431918e-08,6.520023469219443e-08,1.796454126273612e-08,2.3817447119479008e-08,1.7960168864712835e-08,5.453780920688527e-08,3.1685579028195415e-08,1.0498175085727262e-07,2.5215762254431908e-08,0.0,0.0,9.749984311175307e-08,3.279527388135368e-07,0.0,2.5215762254431908e-08,3.5399670517304375e-08,6.01981571225965e-09,2.4869386102180188e-08,8.255123027223622e-09,9.086027925446675e-09,7.49673139915524e-09,1.2855222574844653e-08,5.197609421901689e-08,3.155112862957531e-08,2.4672744931565594e-08,8.9571252866445e-09,8.868970067202618e-09,0.0,7.984831488622699e-09,3.160294307527845e-08,3.418321313775837e-09,4.8240133562581375e-09,2.308478006262723e-09,3.6059608778452834e-09,3.918793761052675e-09,8.893895031368602e-08,0.0,0.0,0.0,6.627380497469359e-08,3.1402163058579357e-07,0.0,7.984831488622696e-09
China,Activity,Chemicals,2.927863071140173e-06,2.116078229824667e-06,3.740904281691146e-06,2.114452217834235e-06,4.3286598513732355e-05,2.7518244500710784e-06,2.5923779051096786e-06,2.137636213858364e-06,4.9799020257997046e-06,3.9007074615201795e-06,4.979902025630486e-06,4.8201172958513795e-06,1.4634771106665195e-06,2.3034129971824673e-06,1.378390748001198e-06,9.445807600385937e-07,1.1043384977568698e-06,2.16487102964759e-06,0.0,0.0,4.585926053327691e-06,0.0,5.615820015743196e-08,5.960772731186152e-08,1.5468244613121015e-07,1.19691899086644e-07,3.469365932461292e-07,5.173426993436225e-08,1.2821169006648195e-07,1.426534085953031e-07,2.1148413480533227e-07,1.1347458630564831e-07,0.0,3.7907347182464545e-07,5.91585526382696e-08,9.293932926300364e-08,3.840051285936357e-08,3.199801966790352e-07,1.3538216276629135e-07,5.153055354181804e-07,3.867142917381797e-07,3.0649335959109437e-07,1.0245649018566215e-06,6.362609843559041e-07,1.272186022264982e-07,1.278826331981598e-07,2.4410684513725536e-07,1.7958840576947275e-07,9.544808243963367e-07,1.032220783189774e-07,1.8402551231441885e-07,1.2427488036018028e-07,3.9582110661124586e-07,1.545410771770134e-07,0.0,5.514184399854919e-07,1.2206198197051694e-07,1.302488761326636e-07,1.0487550137792358e-07,1.3693072544270471e-06,3.3117174466955974e-07,5.680252488557588e-07,0.0,0.0,1.1012496832223492e-06,0.0,4.79519250900848e-08,4.0114857593069325e-08,1.5289950677761516e-07,4.240356622717995e-08,4.048262900710072e-07,5.7484892310206805e-08,1.378399414469047e-07,9.156588575757288e-08,2.017399256746548e-07,6.13796947013464e-08,0.0,3.793253430308136e-07,1.552204695337391e-08,2.6434281088550115e-08,8.873363778589247e-09,1.0558975900970314e-08,2.122544662604485e-08,4.6440525188159596e-07,0.0,0.0,1.0290719451741203e-06,0.0,4.07947824758306e-05,2.116078229858485e-06,3.740904281729733e-06,3.900707462513774e-06,2.114452217893887e-06,2.7518244502056465e-06,2.1376362140505407e-06,2.5923779050448717e-06,4.924474824662901e-06,3.7409042818993264e-06,2.9271175761812364e-06,2.927863071143457e-06,4.979902025630486e-06,3.900707461520182e-06,4.979902025630486e-06,1.463538465706849e-06,2.3034129971824575e-06,1.3783907453077775e-06,9.445807600385937e-07,1.1043384977568715e-06,2.16487102964759e-06,3.90070746152018e-06,0.0,0.0,4.820117295851376e-06,4.585926053327687e-06,0.0,3.90070746152018e-06,2.8324701817779214e-07,6.006546828315567e-08,1.5787873155368496e-07,1.186419943889866e-07,1.1920959525774578e-07,5.301496116575362e-08,1.430016018913205e-07,1.2513624012475206e-07,2.0496706612538262e-07,1.5412765518929885e-07,5.9358007304371966e-08,5.762998069701543e-08,0.0,0.0,2.0161270873349701e-07,6.10743677326602e-08,9.399941346661852e-08,3.973738797011327e-08,2.475368250649689e-07,1.3655034203726107e-07,5.153055354181804e-07,0.0,3.867142917381797e-07,3.0649335959109426e-07,3.790734718246453e-07,1.024564901856621e-06,6.362609843559045e-07,0.0,8.646022230091077e-07,1.2820734768486647e-07,2.469526542314504e-07,1.5753002265869388e-07,1.7964799617949772e-07,1.039725120052242e-07,1.3581633363366764e-07,1.851572384472483e-07,3.8864656773177285e-07,2.4537129476706305e-07,1.291654559595083e-07,1.275860506040332e-07,0.0,1.5454107717701344e-07,3.8704526756765787e-07,1.3053664394569985e-07,1.323389219277183e-07,1.1127837383877941e-07,8.822660117337331e-07,2.85789485675881e-07,5.680252488557587e-07,1.5454107717701342e-07,0.0,0.0,5.514184399854913e-07,1.1012496832223487e-06,0.0,1.5454107717701342e-07,3.8222163422521086e-07,4.059678896390705e-08,1.5466531324128423e-07,6.28765862299696e-08,4.241697905245217e-08,5.748042568283829e-08,9.293347989105462e-08,1.3844438329965668e-07,2.0137766150193386e-07,1.530373166231532e-07,4.863851131960033e-08,4.7951925090172524e-08,0.0,6.137969470134646e-08,2.0188370662078558e-07,1.98470592228279e-08,2.8865911889639158e-08,1.3356939144114467e-08,2.0217343489164536e-08,2.3159235229290325e-08,4.6440525188159596e-07,0.0,0.0,0.0,3.7932534303081357e-07,1.02907194517412e-06,0.0,6.137969470134644e-08
