Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by Geothermal,Production of electricity by biomass and waste,Production of electricity by coal,Production of electricity by gas,Production of electricity by hydro,Production of electricity by nuclear,Production of electricity by petroleum and other oil derivatives,Production of electricity by solar photovoltaic,Production of electricity by solar thermal,"Production of electricity by tide, wave, ocean",Production of electricity by wind,Production of electricity nec
China,Activity,Cattle farming,7.155235504284461e-12,2.776964415658119e-12,1.6353285744369788e-12,6.351081497451776e-13,4.4610543799684206e-13,5.120064422458721e-13,5.180450874566863e-13,2.854459062868025e-13,2.1746441040670204e-13,5.345799400608629e-13,4.014358796916125e-12,7.009442052120786e-13,1.7957888240161574e-13,1.024888495960887e-12,3.6507571425781135e-13
China,Activity,Chemicals nec,4.3076904623638565e-11,9.216964790743389e-12,5.3965222408388255e-12,4.800612782792029e-12,1.7863016883690487e-12,1.576092089905396e-12,1.6902963435786202e-12,1.300324819845323e-12,8.180913039800925e-13,2.559644074218816e-12,2.387395799760549e-11,1.1024529160708112e-12,7.256396953423082e-13,3.4672284021422514e-12,1.4763558342921486e-12
China,Activity,"Collection, purification and distribution of water (41)",4.1635972625884797e-13,9.959547603739671e-14,5.475987870093032e-14,9.993819610629658e-15,8.472987984166433e-15,1.0312662866159047e-14,1.0806180620063883e-14,5.361734979816851e-15,4.7601094491998655e-15,9.937597592668589e-15,2.2963666323772117e-13,1.1614204589289703e-14,3.676199018928401e-15,3.324475017431407e-14,7.414678445982136e-15
China,Activity,"Composting of food waste, incl. land application",1.236189601700115e-13,3.4001474726804335e-14,1.8841898460287102e-14,3.780890036384088e-15,4.298878922160204e-15,1.3685183925218285e-14,5.528805415617986e-15,2.7539207808363356e-15,2.3967129462260067e-15,4.419992445000452e-15,6.868256581999653e-14,8.757143214068558e-15,1.622095184799478e-15,1.2184283624030007e-14,3.751315192447581e-15
China,Activity,"Composting of paper and wood, incl. land application",1.1983058803267286e-14,1.7500091117051274e-15,1.0128479820697898e-15,2.0378820994328032e-16,1.8110035461620372e-16,3.1088554801354453e-16,3.098384500249673e-16,1.1155126865974682e-16,9.517349975978385e-17,2.1266453395248857e-16,6.598831433319799e-15,9.142346330005908e-16,7.850652759292967e-17,6.090722081456228e-16,1.5552348201426947e-16
China,Activity,Computer and related activities (72),1.7672777925022179e-12,9.89389273428458e-13,5.596143861406335e-13,8.377502058567457e-14,1.0888393108594629e-13,1.168171360076708e-13,1.2687575428476963e-13,6.535265583321347e-14,6.258468057613535e-14,1.0467578075020337e-13,9.99586433274885e-13,1.0845810319731376e-13,4.335607047974987e-14,3.498990663004373e-13,9.305582204807393e-14
China,Activity,Construction (45),2.1423961453449042e-12,5.97025141823557e-13,4.5100554040162677e-13,1.1719383816699603e-13,2.1659048237620452e-13,2.808500736278017e-13,1.8910329100254696e-13,2.0770846449457825e-13,1.6363147836087103e-13,2.140612606090453e-13,1.3220130924574545e-12,2.328763552421879e-13,6.070229818041357e-14,3.740375646494601e-13,2.5452554458635046e-13
China,Activity,Copper production,3.878196182248673e-13,2.040830795442411e-12,9.217015187098105e-13,4.0326569031065964e-14,5.823777217212138e-14,7.432619165055357e-14,7.193177739125434e-14,3.590450274520343e-14,3.430960276841624e-14,5.6244898138514626e-14,2.289526263135486e-13,3.567994819961367e-14,2.3254807318637758e-14,5.771581285569075e-13,5.263082980678024e-14
China,Activity,Cultivation of cereal grains nec,1.221704934816094e-10,2.702633748588562e-11,1.5342433557617613e-11,3.2721280119118986e-12,2.846416797468308e-12,4.516890223809865e-12,4.799712359123699e-12,1.730133604432984e-12,1.4848865075126494e-12,3.3201474188920675e-12,6.749090182136662e-11,1.3090212924907245e-11,1.2939662572987677e-12,9.33844687225134e-12,2.463158297603042e-12
China,Activity,Cultivation of crops nec,1.0226489594211027e-10,2.903239212353273e-11,1.6401558411370788e-11,5.591999762195808e-12,7.801293312559623e-12,4.888979927137496e-12,4.44229067321603e-12,2.34945152675712e-12,1.8045942307765499e-12,4.3483272099893904e-12,5.6714997673590013e-11,6.700823240844284e-12,1.4723563421790688e-12,1.016646305278578e-11,3.021933779003931e-12
