,,unit
Satellite account,Domestic Extraction Used - Primary Crops - Pulses nec,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Pumpkins, Squash, Gourds",kt
Satellite account,"Domestic Extraction Used - Primary Crops - Pyrethrum, Dried Flowers",kt
Satellite account,Domestic Extraction Used - Primary Crops - Quinces,kt
Satellite account,Domestic Extraction Used - Primary Crops - Quinoa,kt
Satellite account,Domestic Extraction Used - Primary Crops - Ramie,kt
Satellite account,Domestic Extraction Used - Primary Crops - Rapeseed,kt
Satellite account,Domestic Extraction Used - Primary Crops - Raspberries,kt
Satellite account,Domestic Extraction Used - Primary Crops - Rice,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Roots and Tubers, nes",kt
Satellite account,Domestic Extraction Used - Primary Crops - Rye,kt
Satellite account,Domestic Extraction Used - Primary Crops - Safflower Seed,kt
Satellite account,Domestic Extraction Used - Primary Crops - Sesame Seed,kt
Satellite account,Domestic Extraction Used - Primary Crops - Sisal,kt
Satellite account,Domestic Extraction Used - Primary Crops - Sorghum,kt
Satellite account,Domestic Extraction Used - Primary Crops - Sour Cherries,kt
Satellite account,Domestic Extraction Used - Primary Crops - Soybeans,kt
Satellite account,Domestic Extraction Used - Primary Crops - Spices nec,kt
Satellite account,Domestic Extraction Used - Primary Crops - Spinach,kt
Satellite account,"Domestic Extraction Used - Primary Crops - Stone Fruit nec,",kt
Satellite account,Domestic Extraction Used - Primary Crops - Strawberries,kt
Satellite account,Domestic Extraction Used - Primary Crops - String beans,kt
Satellite account,Domestic Extraction Used - Primary Crops - Sugar Beets,kt
Satellite account,Domestic Extraction Used - Primary Crops - Sugar Cane,kt
Satellite account,Domestic Extraction Used - Primary Crops - Sugar Crops nes,kt
Satellite account,Domestic Extraction Used - Primary Crops - Sunflower Seed,kt
Satellite account,Domestic Extraction Used - Primary Crops - Sweet Potatoes,kt
Satellite account,Domestic Extraction Used - Primary Crops - Tallowtree Seeds,kt
Satellite account,Domestic Extraction Used - Primary Crops - Tang. Mand Clement. Satsma,kt
Satellite account,Domestic Extraction Used - Primary Crops - Taro,kt
Satellite account,Domestic Extraction Used - Primary Crops - Tea,kt
Satellite account,Domestic Extraction Used - Primary Crops - Tea nes,kt
Satellite account,Domestic Extraction Used - Primary Crops - Tobacco Leaves,kt
Satellite account,Domestic Extraction Used - Primary Crops - Tomatoes,kt
Satellite account,Domestic Extraction Used - Primary Crops - Triticale,kt
Satellite account,Domestic Extraction Used - Primary Crops - Tung Nuts,kt
Satellite account,Domestic Extraction Used - Primary Crops - Vanilla,kt
Satellite account,Domestic Extraction Used - Primary Crops - Vegetables Fresh nec,kt
Satellite account,Domestic Extraction Used - Primary Crops - Vetches,kt
Satellite account,Domestic Extraction Used - Primary Crops - Walnuts,kt
Satellite account,Domestic Extraction Used - Primary Crops - Watermelons,kt
Satellite account,Domestic Extraction Used - Primary Crops - Wheat,kt
Satellite account,Domestic Extraction Used - Primary Crops - Yams,kt
Satellite account,Domestic Extraction Used - Primary Crops - Yautia,kt
Satellite account,Emission Relevant Energy Carrier: Total,TJ
Satellite account,Emissions nec - waste - undef,kg
Satellite account,Employment hours: High-skilled female,M.hr
Satellite account,Employment hours: High-skilled male,M.hr
Satellite account,Employment hours: Low-skilled female,M.hr
Satellite account,Employment hours: Low-skilled male,M.hr
Satellite account,Employment hours: Medium-skilled female,M.hr
Satellite account,Employment hours: Medium-skilled male,M.hr
Satellite account,Employment hours: Vulnerable employment,M.hr
Satellite account,Employment: High-skilled female,1000 p
Satellite account,Employment: High-skilled male,1000 p
Satellite account,Employment: Low-skilled female,1000 p
Satellite account,Employment: Low-skilled male,1000 p
Satellite account,Employment: Medium-skilled female,1000 p
Satellite account,Employment: Medium-skilled male,1000 p
Satellite account,Employment: Vulnerable employment,1000 p
Satellite account,Energy Carrier Net LOSS,TJ
Satellite account,Energy Carrier Net NENE,TJ
Satellite account,Energy Carrier Net NTRA,TJ
Satellite account,Energy Carrier Net TAVI,TJ
Satellite account,Energy Carrier Net TMAR,TJ
Satellite account,Energy Carrier Net TOTH,TJ
Satellite account,Energy Carrier Net TRAI,TJ
Satellite account,Energy Carrier Net TROA,TJ
Satellite account,Energy Carrier Net Total,TJ
Satellite account,Energy Carrier Supply: Total,TJ
Satellite account,Energy Carrier Use: Total,TJ
Satellite account,Energy Inputs from Nature: Total,TJ
Satellite account,Forest area - Forestry,km2
Satellite account,Forest area - Marginal use,km2
Satellite account,HCB - combustion - air,kg
Satellite account,HCB - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,HCB - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,HCB - non combustion - Secondary aluminium production - air,kg
Satellite account,HFC - air,kg CO2-eq
Satellite account,Hg - combustion - air,kg
Satellite account,Hg - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,Hg - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,Hg - non combustion - Glass production - air,kg
Satellite account,"Hg - non combustion - Nickel, unwrought - air",kg
Satellite account,"Hg - non combustion - Pig iron production, blast furnace - air",kg
Satellite account,Hg - non combustion - Production of coke oven coke - air,kg
Satellite account,Hg - non combustion - Production of gascoke - air,kg
Satellite account,"Hg - non combustion - Refined copper; unwrought, not alloyed - air",kg
Satellite account,"Hg - non combustion - Refined lead, unwrought - air",kg
Satellite account,Hg - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,Hg - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,Hg - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg
Satellite account,"Hg - non combustion - Zinc, unwrought, not alloyed - air",kg
Satellite account,Indeno - non combustion - Primary aluminium production - air,kg
Satellite account,Indeno - non combustion - Production of coke oven coke - air,kg
Satellite account,Indeno - non combustion - Production of gascoke - air,kg
Satellite account,"Indeno(1,2,3-cd)pyrene - combustion - air",kg
Satellite account,Infrastructure land,km2
Satellite account,N - agriculture - water,kg
Satellite account,N - waste - water,kg
Satellite account,N2O - agriculture - air,kg
Satellite account,N2O - combustion - air,kg
Satellite account,NH3 - agriculture - air,kg
Satellite account,NH3 - combustion - air,kg
Satellite account,NH3 - non combustion - N- fertilizer production - air,kg
Satellite account,NH3 - waste - air,kg
Satellite account,NMVOC - combustion - air,kg
Satellite account,NMVOC - non combustion - Beef and veal - air,kg
Satellite account,NMVOC - non combustion - Coil coating (coating of aluminum and steel) - air,kg
Satellite account,NMVOC - non combustion - Decorative paint applicatoin - air,kg
Satellite account,NMVOC - non combustion - Degreasing - air,kg
Satellite account,NMVOC - non combustion - Diesel distribution - transport and depots (used in mobile sources) - air,kg
Satellite account,NMVOC - non combustion - Diesel distribution - transport and depots (used in stationary sources) - air,kg
Satellite account,NMVOC - non combustion - Dry cleaning - air,kg
Satellite account,"NMVOC - non combustion - Extraction, proc. and distribution of gaseous fuels - air",kg
Satellite account,"NMVOC - non combustion - Extraction, proc. and distribution of liquid fuels - air",kg
Satellite account,NMVOC - non combustion - Extraction/production of (natural) gas - air,kg
Satellite account,NMVOC - non combustion - Extraction/production of crude oil - air,kg
Satellite account,"NMVOC - non combustion - Fat, edible and non-edible oil extraction - air",kg
Satellite account,"NMVOC - non combustion - Fish, dried, salted or in brine; smoked fish; edible fish meal - air",kg
Satellite account,"NMVOC - non combustion - Fish, fish fillets, other fish meat and fish livers and roes, frozen - air",kg
Satellite account,"NMVOC - non combustion - Fish, otherwise prepared or preserved; caviar - air",kg
Satellite account,NMVOC - non combustion - Flexography and rotogravure in packaging - air,kg
Satellite account,NMVOC - non combustion - Gasoline distribution - service stations - air,kg
Satellite account,NMVOC - non combustion - Gasoline distribution - transport and depots (used in mobile sources) - air,kg
Satellite account,NMVOC - non combustion - Gasoline distribution - transport and depots (used in stationary sources) - air,kg
Satellite account,NMVOC - non combustion - Industrial application of adhesives (use of high performance solvent based adhesives) - air,kg
Satellite account,NMVOC - non combustion - Industrial application of adhesives (use of traditional solvent based adhesives) - air,kg
Satellite account,"NMVOC - non combustion - Industrial paint application, general industry (continuous processes) - air",kg
Satellite account,"NMVOC - non combustion - Industrial paint application, general industry (plastic parts) - air",kg
Satellite account,"NMVOC - non combustion - Industrial paint application, general industry - air",kg
Satellite account,"NMVOC - non combustion - Inorganic chemical industry, fertilizers and other - air",kg
Satellite account,NMVOC - non combustion - Leather coating - air,kg
Satellite account,NMVOC - non combustion - Manufacture of automobiles - air,kg
Satellite account,NMVOC - non combustion - Mutton and lamb - air,kg
Satellite account,NMVOC - non combustion - Oil refinery - air,kg
Satellite account,NMVOC - non combustion - Organic chemical industry - downstream units - air,kg
Satellite account,"NMVOC - non combustion - Organic chemical industry, storage - air",kg
Satellite account,NMVOC - non combustion - Other industrial use of solvents - air,kg
Satellite account,NMVOC - non combustion - Pharmaceutical industry - air,kg
Satellite account,NMVOC - non combustion - Polystyrene processing - air,kg
Satellite account,NMVOC - non combustion - Polyvinylchloride produceduction by suspension process - air,kg
Satellite account,NMVOC - non combustion - Pork - air,kg
Satellite account,"NMVOC - non combustion - Poultry, dressed - air",kg
Satellite account,"NMVOC - non combustion - Printing, offset - air",kg
Satellite account,NMVOC - non combustion - Products incorporating solvents - air,kg
Satellite account,NMVOC - non combustion - Raw sugar - air,kg
Satellite account,NMVOC - non combustion - Rotogravure in publication - air,kg
Satellite account,NMVOC - non combustion - Screen printing - air,kg
Satellite account,NMVOC - non combustion - Steam cracking (ethylene and propylene production) - air,kg
Satellite account,NMVOC - non combustion - Synthetic rubber - air,kg
Satellite account,NMVOC - non combustion - Tyre production - air,kg
Satellite account,NMVOC - non combustion - Vehicle refinishing - air,kg
Satellite account,NMVOC - non combustion - Wire coating - air,kg
Satellite account,NOX - agriculture - air,kg
Satellite account,NOX - waste - air,kg
Satellite account,NOx - combustion - air,kg
Satellite account,NOx - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,NOx - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,NOx - non combustion - Bricks production - air,kg
Satellite account,NOx - non combustion - Cement production - air,kg
Satellite account,"NOx - non combustion - Chemical wood pulp, dissolving grades - air",kg
Satellite account,"NOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",kg
Satellite account,"NOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",kg
Satellite account,NOx - non combustion - Glass production - air,kg
Satellite account,NOx - non combustion - Lime production - air,kg
Satellite account,"NOx - non combustion - Nickel, unwrought - air",kg
Satellite account,NOx - non combustion - Oil refinery - air,kg
Satellite account,"NOx - non combustion - Pig iron production, blast furnace - air",kg
Satellite account,NOx - non combustion - Production of coke oven coke - air,kg
Satellite account,NOx - non combustion - Production of gascoke - air,kg
Satellite account,"NOx - non combustion - Refined copper; unwrought, not alloyed - air",kg
Satellite account,"NOx - non combustion - Refined lead, unwrought - air",kg
Satellite account,"NOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",kg
Satellite account,NOx - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,NOx - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,NOx - non combustion - Sulphuric acid production - air,kg
Satellite account,NOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg
Satellite account,"NOx - non combustion - Zinc, unwrought, not alloyed - air",kg
Satellite account,Ni - combustion - air,kg
Satellite account,Ni - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,Ni - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,Ni - non combustion - Glass production - air,kg
Satellite account,Ni - non combustion - Production of coke oven coke - air,kg
Satellite account,Ni - non combustion - Production of gascoke - air,kg
Satellite account,Ni - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,Ni - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,Ni - non combustion - Steel production: open hearth furnace - air,kg
Satellite account,Other land Use: Total,km2
Satellite account,P - agriculture - soil,kg
Satellite account,P - agriculture - water,kg
Satellite account,P - waste - water,kg
Satellite account,PAH - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,PAH - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,"PAH - non combustion - Pig iron production, blast furnace - air",kg
Satellite account,PAH - non combustion - Production of coke oven coke - air,kg
Satellite account,PAH - non combustion - Production of gascoke - air,kg
Satellite account,PAH - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,PAH - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,PCB - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,PCB - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,"PCB - non combustion - Pig iron production, blast furnace - air",kg
Satellite account,PCB - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,PCB - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,PCBs - combustion - air,kg
Satellite account,PCDD/F - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,PCDD/F - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,"PCDD/F - non combustion - Pig iron production, blast furnace - air",kg
Satellite account,PCDD/F - non combustion - Secondary aluminium production - air,kg
Satellite account,PCDD/F - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,PCDD/F - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,PCDD_F - combustion - air,kg
Satellite account,PFC - air,kg CO2-eq
Satellite account,PM10 - combustion - air,kg
Satellite account,PM10 - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,PM10 - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,PM10 - non combustion - Aluminium ores and concentrates (Bauxite) - air,kg
Satellite account,PM10 - non combustion - Bricks production - air,kg
Satellite account,PM10 - non combustion - Briquettes production - air,kg
Satellite account,PM10 - non combustion - Carbon black production - air,kg
Satellite account,PM10 - non combustion - Cast iron production (grey iron foundries) - air,kg
Satellite account,PM10 - non combustion - Cement production - air,kg
Satellite account,"PM10 - non combustion - Chemical wood pulp, dissolving grades - air",kg
Satellite account,"PM10 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",kg
Satellite account,"PM10 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",kg
Satellite account,PM10 - non combustion - Chromium ores and concentrates - air,kg
Satellite account,PM10 - non combustion - Copper ores and concentrates - air,kg
Satellite account,PM10 - non combustion - Fertilizer production (N-fertilizer) - air,kg
Satellite account,PM10 - non combustion - Glass production - air,kg
Satellite account,PM10 - non combustion - Gold ores and concentrates - air,kg
Satellite account,PM10 - non combustion - Iron ores and concentrates - air,kg
Satellite account,PM10 - non combustion - Lead ores and concentrates - air,kg
Satellite account,PM10 - non combustion - Lime production - air,kg
Satellite account,PM10 - non combustion - Mining of antracite - air,kg
Satellite account,PM10 - non combustion - Mining of bituminous coal - air,kg
Satellite account,PM10 - non combustion - Mining of coking coal - air,kg
Satellite account,PM10 - non combustion - Mining of lignite (brown coal) - air,kg
Satellite account,PM10 - non combustion - Mining of sub-bituminous coal - air,kg
Satellite account,PM10 - non combustion - Molybdenum ores and concentrates - air,kg
Satellite account,PM10 - non combustion - N- fertilizer production - air,kg
Satellite account,PM10 - non combustion - Nickel ores and concentrates - air,kg
Satellite account,"PM10 - non combustion - Nickel, unwrought - air",kg
Satellite account,PM10 - non combustion - Oil refinery - air,kg
Satellite account,"PM10 - non combustion - Pig iron production, blast furnace - air",kg
Satellite account,PM10 - non combustion - Platinum ores and concentrates - air,kg
Satellite account,PM10 - non combustion - Primary aluminium production - air,kg
Satellite account,PM10 - non combustion - Production of coke oven coke - air,kg
Satellite account,PM10 - non combustion - Production of gascoke - air,kg
Satellite account,"PM10 - non combustion - Refined copper; unwrought, not alloyed - air",kg
Satellite account,"PM10 - non combustion - Refined lead, unwrought - air",kg
Satellite account,PM10 - non combustion - Secondary aluminium production - air,kg
Satellite account,"PM10 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",kg
Satellite account,PM10 - non combustion - Silver ores and concentrates - air,kg
Satellite account,PM10 - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,PM10 - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,PM10 - non combustion - Steel production: open hearth furnace - air,kg
Satellite account,PM10 - non combustion - Tin ores and concentrates - air,kg
Satellite account,PM10 - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg
Satellite account,PM10 - non combustion - Zinc ores and concentrates - air,kg
Satellite account,"PM10 - non combustion - Zinc, unwrought, not alloyed - air",kg
Satellite account,PM2.5 - combustion - air,kg
Satellite account,PM2.5 - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,PM2.5 - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,PM2.5 - non combustion - Aluminium ores and concentrates (Bauxite) - air,kg
Satellite account,PM2.5 - non combustion - Bricks production - air,kg
Satellite account,PM2.5 - non combustion - Briquettes production - air,kg
Satellite account,PM2.5 - non combustion - Carbon black production - air,kg
Satellite account,PM2.5 - non combustion - Cast iron production (grey iron foundries) - air,kg
Satellite account,PM2.5 - non combustion - Cement production - air,kg
Satellite account,"PM2.5 - non combustion - Chemical wood pulp, dissolving grades - air",kg
Satellite account,"PM2.5 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",kg
Satellite account,"PM2.5 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",kg
Satellite account,PM2.5 - non combustion - Chromium ores and concentrates - air,kg
Satellite account,PM2.5 - non combustion - Copper ores and concentrates - air,kg
Satellite account,PM2.5 - non combustion - Fertilizer production (N-fertilizer) - air,kg
Satellite account,PM2.5 - non combustion - Glass production - air,kg
Satellite account,PM2.5 - non combustion - Gold ores and concentrates - air,kg
Satellite account,PM2.5 - non combustion - Iron ores and concentrates - air,kg
Satellite account,PM2.5 - non combustion - Lead ores and concentrates - air,kg
Satellite account,PM2.5 - non combustion - Lime production - air,kg
Satellite account,PM2.5 - non combustion - Mining of antracite - air,kg
Satellite account,PM2.5 - non combustion - Mining of bituminous coal - air,kg
Satellite account,PM2.5 - non combustion - Mining of coking coal - air,kg
Satellite account,PM2.5 - non combustion - Mining of lignite (brown coal) - air,kg
Satellite account,PM2.5 - non combustion - Mining of sub-bituminous coal - air,kg
Satellite account,PM2.5 - non combustion - Molybdenum ores and concentrates - air,kg
Satellite account,PM2.5 - non combustion - N- fertilizer production - air,kg
Satellite account,PM2.5 - non combustion - Nickel ores and concentrates - air,kg
Satellite account,"PM2.5 - non combustion - Nickel, unwrought - air",kg
Satellite account,PM2.5 - non combustion - Oil refinery - air,kg
Satellite account,"PM2.5 - non combustion - Pig iron production, blast furnace - air",kg
Satellite account,PM2.5 - non combustion - Platinum ores and concentrates - air,kg
Satellite account,PM2.5 - non combustion - Primary aluminium production - air,kg
Satellite account,PM2.5 - non combustion - Production of coke oven coke - air,kg
Satellite account,PM2.5 - non combustion - Production of gascoke - air,kg
Satellite account,"PM2.5 - non combustion - Refined copper; unwrought, not alloyed - air",kg
Satellite account,"PM2.5 - non combustion - Refined lead, unwrought - air",kg
Satellite account,PM2.5 - non combustion - Secondary aluminium production - air,kg
Satellite account,"PM2.5 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",kg
Satellite account,PM2.5 - non combustion - Silver ores and concentrates - air,kg
Satellite account,PM2.5 - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,PM2.5 - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,PM2.5 - non combustion - Steel production: open hearth furnace - air,kg
Satellite account,PM2.5 - non combustion - Tin ores and concentrates - air,kg
Satellite account,PM2.5 - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg
Satellite account,PM2.5 - non combustion - Zinc ores and concentrates - air,kg
Satellite account,"PM2.5 - non combustion - Zinc, unwrought, not alloyed - air",kg
Satellite account,PM2.5 - waste - air,kg
Satellite account,Pb - combustion - air,kg
Satellite account,Pb - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,Pb - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,Pb - non combustion - Glass production - air,kg
Satellite account,"Pb - non combustion - Nickel, unwrought - air",kg
Satellite account,"Pb - non combustion - Pig iron production, blast furnace - air",kg
Satellite account,Pb - non combustion - Production of coke oven coke - air,kg
Satellite account,Pb - non combustion - Production of gascoke - air,kg
Satellite account,"Pb - non combustion - Refined copper; unwrought, not alloyed - air",kg
Satellite account,"Pb - non combustion - Refined lead, unwrought - air",kg
Satellite account,Pb - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,Pb - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,Pb - non combustion - Steel production: open hearth furnace - air,kg
Satellite account,Pb - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg
Satellite account,"Pb - non combustion - Zinc, unwrought, not alloyed - air",kg
Satellite account,Permanent pastures - Grazing-Cattle,km2
Satellite account,Permanent pastures - Grazing-Meat animals nec,km2
Satellite account,Permanent pastures - Grazing-Raw milk,km2
Satellite account,Pxx - agriculture - soil,kg
Satellite account,SF6 - air,kg
Satellite account,SOx - combustion - air,kg
Satellite account,SOx - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,SOx - non combustion - Bricks production - air,kg
Satellite account,SOx - non combustion - Cement production - air,kg
Satellite account,"SOx - non combustion - Chemical wood pulp, dissolving grades - air",kg
Satellite account,"SOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",kg
Satellite account,"SOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",kg
Satellite account,SOx - non combustion - Glass production - air,kg
Satellite account,SOx - non combustion - Lime production - air,kg
Satellite account,"SOx - non combustion - Nickel, unwrought - air",kg
Satellite account,SOx - non combustion - Oil refinery - air,kg
Satellite account,"SOx - non combustion - Pig iron production, blast furnace - air",kg
Satellite account,SOx - non combustion - Production of coke oven coke - air,kg
Satellite account,SOx - non combustion - Production of gascoke - air,kg
Satellite account,"SOx - non combustion - Refined copper; unwrought, not alloyed - air",kg
Satellite account,"SOx - non combustion - Refined lead, unwrought - air",kg
Satellite account,"SOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",kg
Satellite account,SOx - non combustion - Sulphuric acid production - air,kg
Satellite account,SOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg
Satellite account,"SOx - non combustion - Zinc, unwrought, not alloyed - air",kg
Satellite account,SOx - waste - air,kg
Satellite account,Se - combustion - air,kg
Satellite account,Se - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,Se - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,Se - non combustion - Glass production - air,kg
Satellite account,Se - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,TSP - combustion - air,kg
Satellite account,TSP - non combustion - Agglomeration plant - pellets - air,kg
Satellite account,TSP - non combustion - Agglomeration plant - sinter - air,kg
Satellite account,TSP - non combustion - Aluminium ores and concentrates (Bauxite) - air,kg
Satellite account,TSP - non combustion - Bricks production - air,kg
Satellite account,TSP - non combustion - Briquettes production - air,kg
Satellite account,TSP - non combustion - Carbon black production - air,kg
Satellite account,TSP - non combustion - Cast iron production (grey iron foundries) - air,kg
Satellite account,TSP - non combustion - Cement production - air,kg
Satellite account,"TSP - non combustion - Chemical wood pulp, dissolving grades - air",kg
Satellite account,"TSP - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",kg
Satellite account,"TSP - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",kg
Satellite account,TSP - non combustion - Chromium ores and concentrates - air,kg
Satellite account,TSP - non combustion - Copper ores and concentrates - air,kg
Satellite account,TSP - non combustion - Fertilizer production (N-fertilizer) - air,kg
Satellite account,TSP - non combustion - Glass production - air,kg
Satellite account,TSP - non combustion - Gold ores and concentrates - air,kg
Satellite account,TSP - non combustion - Iron ores and concentrates - air,kg
Satellite account,TSP - non combustion - Lead ores and concentrates - air,kg
Satellite account,TSP - non combustion - Lime production - air,kg
Satellite account,TSP - non combustion - Mining of antracite - air,kg
Satellite account,TSP - non combustion - Mining of bituminous coal - air,kg
Satellite account,TSP - non combustion - Mining of coking coal - air,kg
Satellite account,TSP - non combustion - Mining of lignite (brown coal) - air,kg
Satellite account,TSP - non combustion - Mining of sub-bituminous coal - air,kg
Satellite account,TSP - non combustion - Molybdenum ores and concentrates - air,kg
Satellite account,TSP - non combustion - N- fertilizer production - air,kg
Satellite account,TSP - non combustion - Nickel ores and concentrates - air,kg
Satellite account,"TSP - non combustion - Nickel, unwrought - air",kg
Satellite account,TSP - non combustion - Oil refinery - air,kg
Satellite account,"TSP - non combustion - Pig iron production, blast furnace - air",kg
Satellite account,TSP - non combustion - Platinum ores and concentrates - air,kg
Satellite account,TSP - non combustion - Primary aluminium production - air,kg
Satellite account,TSP - non combustion - Production of coke oven coke - air,kg
Satellite account,TSP - non combustion - Production of gascoke - air,kg
Satellite account,"TSP - non combustion - Refined copper; unwrought, not alloyed - air",kg
Satellite account,"TSP - non combustion - Refined lead, unwrought - air",kg
Satellite account,TSP - non combustion - Secondary aluminium production - air,kg
Satellite account,"TSP - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",kg
Satellite account,TSP - non combustion - Silver ores and concentrates - air,kg
Satellite account,TSP - non combustion - Steel production: basic oxygen furnace - air,kg
Satellite account,TSP - non combustion - Steel production: electric arc furnace - air,kg
Satellite account,TSP - non combustion - Steel production: open hearth furnace - air,kg
Satellite account,TSP - non combustion - Tin ores and concentrates - air,kg
Satellite account,TSP - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg
Satellite account,TSP - non combustion - Zinc ores and concentrates - air,kg
Satellite account,"TSP - non combustion - Zinc, unwrought, not alloyed - air",kg
Satellite account,Unused Domestic Extraction - Crop residues - Feed,kt
Satellite account,Unused Domestic Extraction - Crop residues - Straw,kt
Satellite account,Unused Domestic Extraction - Fishery - Aquatic plants,kt
Satellite account,Unused Domestic Extraction - Fishery - Inland waters fish catch,kt
Satellite account,Unused Domestic Extraction - Fishery - Marine fish catch,kt
Satellite account,Unused Domestic Extraction - Fishery - Other (e.g. Aquatic mammals),kt
Satellite account,Unused Domestic Extraction - Fodder crops - Alfalfa for Forage and Silage,kt
Satellite account,Unused Domestic Extraction - Fodder crops - Beets for Fodder,kt
Satellite account,Unused Domestic Extraction - Fodder crops - Cabbage for Fodder,kt
Satellite account,Unused Domestic Extraction - Fodder crops - Carrots for Fodder,kt
Satellite account,Unused Domestic Extraction - Fodder crops - Clover for Forage and Silage,kt
Satellite account,Unused Domestic Extraction - Fodder crops - Forage Products nec,kt
Satellite account,Unused Domestic Extraction - Fodder crops - Grasses nec for Forage and Silage,kt
Satellite account,Unused Domestic Extraction - Fodder crops - Green Oilseeds for Fodder,kt
Satellite account,Unused Domestic Extraction - Fodder crops - Leguminous nec for forage and Silage,kt
Satellite account,Unused Domestic Extraction - Fodder crops - Maize for Forage and Silage,kt
Satellite account,Unused Domestic Extraction - Fodder crops - Other grasses,kt
Satellite account,"Unused Domestic Extraction - Fodder crops - Rye Grass, Forage and Silage",kt
Satellite account,Unused Domestic Extraction - Fodder crops - Sorghum for Forage and Silage,kt
Satellite account,Unused Domestic Extraction - Fodder crops - Swedes for Fodder,kt
Satellite account,Unused Domestic Extraction - Fodder crops - Turnips for Fodder,kt
Satellite account,"Unused Domestic Extraction - Fodder crops - Vegetables and Roots, Fodder",kt
Satellite account,Unused Domestic Extraction - Forestry - Coniferous wood - Industrial roundwood,kt
Satellite account,Unused Domestic Extraction - Forestry - Coniferous wood - Wood fuel,kt
Satellite account,Unused Domestic Extraction - Forestry - Kapok Fruit,kt
Satellite account,Unused Domestic Extraction - Forestry - Natural Gums,kt
Satellite account,Unused Domestic Extraction - Forestry - Non-coniferous wood - Industrial roundwood,kt
Satellite account,Unused Domestic Extraction - Forestry - Non-coniferous wood - Wood fuel,kt
Satellite account,Unused Domestic Extraction - Forestry - Raw materials other than wood,kt
