,,unit
Sector,Plastic waste for treatment: incineration,EUR
Sector,Plastic waste for treatment: landfill,EUR
Sector,"Plastics, basic",EUR
Sector,Post and telecommunication services (64),EUR
Sector,Poultry,EUR
Sector,Precious metal ores and concentrates,EUR
Sector,Precious metals,EUR
Sector,Printed matter and recorded media (22),EUR
Sector,Private households with employed persons (95),EUR
Sector,Processed rice,EUR
Sector,"Products of forestry, logging and related services (02)",EUR
Sector,Products of meat cattle,EUR
Sector,Products of meat pigs,EUR
Sector,Products of meat poultry,EUR
Sector,Public administration and defence services; compulsory social security services (75),EUR
Sector,Pulp,EUR
Sector,"Radio, television and communication equipment and apparatus (32)",EUR
Sector,Railway transportation services,EUR
Sector,Raw milk,EUR
Sector,Raw silicon,0.0
Sector,Real estate services (70),EUR
Sector,"Recreational, cultural and sporting services (92)",EUR
Sector,Refinery Feedstocks,EUR
Sector,Refinery Gas,EUR
Sector,Renting services of machinery and equipment without operator and of personal and household goods (71),EUR
Sector,Research and development services (73),EUR
Sector,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",EUR
Sector,Retail trade services of motor fuel,EUR
Sector,Rubber and plastic products (25),EUR
Sector,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",EUR
Sector,Sand and clay,EUR
Sector,Sea and coastal water transportation services,EUR
Sector,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",EUR
Sector,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",EUR
Sector,"Secondary copper for treatment, Re-processing of secondary copper into new copper",EUR
Sector,"Secondary glass for treatment, Re-processing of secondary glass into new glass",EUR
Sector,"Secondary lead for treatment, Re-processing of secondary lead into new lead",EUR
Sector,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",EUR
Sector,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",EUR
Sector,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",EUR
Sector,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",EUR
Sector,Secondary raw materials,EUR
Sector,"Secondary steel for treatment, Re-processing of secondary steel into new steel",EUR
Sector,Services auxiliary to financial intermediation (67),EUR
Sector,Sewage sludge for treatment: biogasification and land application,EUR
Sector,Steam and hot water supply services,EUR
Sector,Stone,EUR
Sector,Sub-Bituminous Coal,EUR
Sector,Sugar,EUR
Sector,"Sugar cane, sugar beet",EUR
Sector,Supporting and auxiliary transport services; travel agency services (63),EUR
Sector,Textiles (17),EUR
Sector,Textiles waste for treatment: incineration,EUR
Sector,Textiles waste for treatment: landfill,EUR
Sector,Tobacco products (16),EUR
Sector,Transmission services of electricity,EUR
Sector,Transportation services via pipelines,EUR
Sector,Uranium and thorium ores (12),EUR
Sector,"Vegetables, fruit, nuts",EUR
Sector,Wearing apparel; furs (18),EUR
Sector,Wheat,EUR
Sector,White Spirit & SBP,EUR
Sector,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",EUR
Sector,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),EUR
Sector,"Wood material for treatment, Re-processing of secondary wood material into new wood material",EUR
Sector,Wood waste for treatment: incineration,EUR
Sector,Wood waste for treatment: landfill,EUR
Sector,"Wool, silk-worm cocoons",EUR
Sector,products of Vegetable oils and fats,EUR
Sector,Disassembler of Wind Turbines,0.0
Sector,Disassembler of PV panels,0.0
Sector,Refinery of Generators of Onshore Wind Turbines,0.0
Sector,Refinery of Generators of Offshore Wind Turbines,0.0
Sector,Refinery of Silicon layer in PV panel,0.0
Sector,Refinery of Cu in wires of WT and PV,0.0
Sector,Landifill,0.0
Factor of production,Taxes less subsidies on products purchased: Total,EUR
Factor of production,Taxes on products purchased,EUR
Factor of production,Subsidies on products purchased,EUR
Factor of production,Other net taxes on production,EUR
Factor of production,"Compensation of employees; wages, salaries, & employers' social contributions: Total",EUR
Factor of production,"Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled",EUR
Factor of production,"Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled",EUR
Factor of production,"Compensation of employees; wages, salaries, & employers' social contributions: High-skilled",EUR
Factor of production,Operating surplus: Consumption of fixed capital,EUR
