Region,Level,Item,production
China,Sector,Other transport equipment (35),203726306521215.12
China,Sector,Other waste for treatment: waste water treatment,-150272208192601.75
China,Sector,Oxygen Steel Furnace Gas,152799666.85962602
China,Sector,P- and other fertiliser,-30325538551677.816
China,Sector,Paddy rice,523452363005162.9
China,Sector,Paper and paper products,-560006751212.6403
China,Sector,Paper and wood waste for treatment: composting and land application,-1391818052451.3037
China,Sector,Paper for treatment: landfill,-56704478257999.05
China,Sector,Paper waste for treatment: biogasification and land application,0.0
China,Sector,Paper waste for treatment: incineration,-67352824942719.12
China,Sector,Paraffin Waxes,-128925690321048.75
China,Sector,Patent Fuel,1054779045713.5312
China,Sector,Peat,0.0
China,Sector,Petroleum Coke,-68010428522834.17
China,Sector,Photovoltaic plants,0.0
China,Sector,Pigs,36031343396.75717
China,Sector,Plant-based fibers,264372196275719.8
China,Sector,Plastic waste for treatment: incineration,-8685103053751.658
China,Sector,Plastic waste for treatment: landfill,-59924526460105.86
China,Sector,"Plastics, basic",10367638153145.768
China,Sector,Post and telecommunication services (64),12310170442023.326
China,Sector,Poultry,671864569025.4948
China,Sector,Precious metal ores and concentrates,-3017628919497.0396
China,Sector,Precious metals,67781470866401.1
China,Sector,Printed matter and recorded media (22),315204154348616.75
China,Sector,Private households with employed persons (95),10219137920918.33
China,Sector,Processed rice,10259050650699.557
China,Sector,"Products of forestry, logging and related services (02)",243928091217033.84
China,Sector,Products of meat cattle,-356495741038.832
China,Sector,Products of meat pigs,-1426655879764.5435
China,Sector,Products of meat poultry,-3907742077645.047
China,Sector,Public administration and defence services; compulsory social security services (75),382805596073.95776
China,Sector,Pulp,-35766387373.3687
China,Sector,"Radio, television and communication equipment and apparatus (32)",24412928998068.9
China,Sector,Railway transportation services,33352792915399.996
China,Sector,Raw milk,32288927089963.633
China,Sector,Raw silicon,0.0
China,Sector,Real estate services (70),26987875644301.53
China,Sector,"Recreational, cultural and sporting services (92)",-43442730825901.63
China,Sector,Refinery Feedstocks,-6751762264460.494
China,Sector,Refinery Gas,-92000830703915.67
China,Sector,Refinery of Cu in wires of WT and PV,0.0
China,Sector,Refinery of Generators of Offshore Wind Turbines,0.0
China,Sector,Refinery of Generators of Onshore Wind Turbines,0.0
China,Sector,Refinery of Silicon layer in PV panel,0.0
China,Sector,Renting services of machinery and equipment without operator and of personal and household goods (71),24845080328532.555
China,Sector,Research and development services (73),12677782766411.477
China,Sector,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",-386891239648040.56
China,Sector,Retail trade services of motor fuel,-5243363485849.665
China,Sector,Rubber and plastic products (25),589773531568157.8
China,Sector,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",52439598266720.78
China,Sector,Sand and clay,-682811567211079.0
China,Sector,Sea and coastal water transportation services,25722560797057.59
China,Sector,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
China,Sector,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
China,Sector,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
China,Sector,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
China,Sector,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
China,Sector,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
China,Sector,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
China,Sector,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
China,Sector,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
China,Sector,Secondary raw materials,37359018611080.664
China,Sector,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
China,Sector,Services auxiliary to financial intermediation (67),62513473830159.85
China,Sector,Sewage sludge for treatment: biogasification and land application,0.0
China,Sector,Steam and hot water supply services,10829449281120.352
China,Sector,Stone,2820647687103.718
China,Sector,Sub-Bituminous Coal,0.0
China,Sector,Sugar,-534167382481.0702
China,Sector,"Sugar cane, sugar beet",44514587392099.84
China,Sector,Supporting and auxiliary transport services; travel agency services (63),300955372394031.3
China,Sector,Textiles (17),19134357994968.35
China,Sector,Textiles waste for treatment: incineration,-24920773427884.516
China,Sector,Textiles waste for treatment: landfill,-11964806888699.898
China,Sector,Tobacco products (16),3037838908121.2812
China,Sector,Transmission services of electricity,-135799651144153.75
China,Sector,Transportation services via pipelines,-22491504834864.473
China,Sector,Uranium and thorium ores (12),-643485293714.357
