Region,,,China,China,China,China,China,China,China,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation
China,Sector,Construction (45),0.0,0.0,0.0,0.0,56812154165.38998,0.0,2324561217205.61,495167.48485725065,0.0,0.0,284786.8231889437,27212469.44166025,19.62617636459321,1113018565.0161974,11043.99085201764,0.0,0.0,421642.3383549258,55887641.740198955,4295.839063536494,4350024638.427908,0.0,0.0,0.0,0.0,0.0,0.0,197463221.53221488
China,Sector,Copper production,1172603292.8754196,0.0,0.0,0.0,0.0,0.0,0.0,4067898.398957899,0.0,0.0,0.0,0.0,0.0,1786529.3697305932,5646128.83489055,0.0,0.0,0.0,0.0,0.0,52657716.52584387,744964.665836109,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cultivation of cereal grains nec,512135404.81574464,0.0,0.0,1921241158.0018132,3774648965.9809837,1986430234.155902,0.0,75172.43620754634,0.0,0.0,25.232927196455982,1278947.13989262,365.53745098741643,0.0,55026.73738432891,0.0,0.0,1949.3596313949492,1664259.9546941598,1361.9454880908909,22379.190426932004,6253.289337138167,0.0,0.0,0.0,37369.73708933648,0.0,0.0
China,Sector,Cultivation of crops nec,691238068.1686739,0.0,0.0,691927680.4636163,685350779.3395944,450481272.6830924,0.0,11367440.43341658,0.0,0.0,10980.763166345445,228026336.49377093,137528.73713315916,4362707.794689319,7583673.025061235,0.0,0.0,70139.74066922766,1119837365.432166,35308.1558392729,70878133.65925029,4170229.283270403,0.0,0.0,0.0,8390643.481574155,0.0,0.0
China,Sector,Cultivation of oil seeds,769497927.832627,0.0,0.0,1089757903.5195138,0.0,2466056516.913455,0.0,1627050.5822574825,0.0,0.0,1380888.76476698,55741736.46738447,5139.63753293843,0.0,2848365.7610335522,0.0,0.0,7653075.861711489,65129403.384205446,4696.575856788832,0.0,292790.1255993237,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cultivation of paddy rice,1952863225.966131,0.0,0.0,213392956.31207108,0.0,765964389.1987605,0.0,98.56377228544565,0.0,0.0,0.6145742176786562,52582.603387589785,0.0,0.0,2646813.827742872,0.0,0.0,1.8730094598024494,24460.955197896266,14.313526471168768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cultivation of plant-based fibers,59729104.78416502,0.0,0.0,113149884.44194566,0.0,0.0,0.0,759.1615196376464,0.0,0.0,20.37355436000151,262549.89003478416,0.9202920706988202,0.0,20953.716574127367,0.0,0.0,182.76852086925857,50438.41430300333,0.9649007919889038,21738.44606535976,126666.56917590303,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Cultivation of sugar cane, sugar beet",738925093.8970376,0.0,0.0,1357779637.352465,4123958.982773482,3877295173.4102893,0.0,8121.320142757288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007763287053637981,10.510262247925368,14.375382132794359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Cultivation of vegetables, fruit, nuts",7490815690.020498,0.0,0.0,3918031844.722884,39036364022.20568,5408125346.706211,0.0,2738130.7309941854,0.0,0.0,358024.90927006304,348309678.05258334,687300.3694477516,0.0,18284321.168490637,0.0,0.0,17602.799605580436,6108685924.875305,9036.71760300057,93845531.1429467,3714.2194857320324,0.0,0.0,0.0,246136430.51310408,0.0,0.0
China,Sector,Cultivation of wheat,680397271.5516567,0.0,0.0,3117179992.794216,0.0,3217425466.4936285,0.0,2924.167395564682,0.0,0.0,0.0,398546.7326112756,15.104270076648376,0.0,16.34071475694498,0.0,0.0,13.255530857379892,836982.0614597073,5.870353682249675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Distribution and trade of electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
