Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by Geothermal,Production of electricity by biomass and waste,Production of electricity by coal,Production of electricity by gas,Production of electricity by hydro,Production of electricity by nuclear,Production of electricity by petroleum and other oil derivatives,Production of electricity by solar photovoltaic,Production of electricity by solar thermal,"Production of electricity by tide, wave, ocean",Production of electricity by wind,Production of electricity nec
China,Activity,Cattle farming,1.1686254351010714e-11,4.815521183845987e-12,2.84753399040157e-12,1.0248737095443697e-12,7.966992108731139e-13,8.44597953037066e-13,1.0219251884322937e-12,4.805184791742799e-13,3.8215514711915433e-13,9.093273579917935e-13,6.698448448338519e-12,3.5571800163017066e-13,3.4191403659957635e-13,1.8124649866893802e-12,6.395780446344615e-13
China,Activity,Chemicals nec,7.934551041073888e-11,1.7495961400517633e-11,1.0463269160735685e-11,9.058052110537847e-12,3.915618074156173e-12,2.985851410508286e-12,4.8534187200223266e-12,2.572095169791974e-12,1.8007068920062382e-12,4.762294838186749e-12,4.4911143609025695e-11,1.1495463115936215e-12,1.768171288618565e-12,6.945950402485291e-12,3.104210525145126e-12
China,Activity,"Collection, purification and distribution of water (41)",5.75341481665703e-13,1.616230042274115e-13,8.811237536027828e-14,1.521285452657747e-14,1.3539730456095168e-14,1.574303481759619e-14,1.8590074148356005e-14,8.370366837323941e-15,7.290603951216916e-15,1.5702154503509793e-14,3.2360057062010065e-13,5.530734672426381e-15,5.960713584529592e-15,5.450321666361766e-14,1.1808863503872523e-14
China,Activity,"Composting of food waste, incl. land application",2.400023999686567e-13,7.416005177522093e-14,3.945468713594905e-14,6.671802612431723e-15,7.928781122915232e-15,1.6491897642731582e-14,1.018712828088631e-14,4.858926081497975e-15,4.425245098249314e-15,8.728654400647382e-15,1.357170133295157e-13,4.50377358070556e-15,3.265128120924611e-15,2.5611958152560043e-14,6.70845645020352e-15
China,Activity,"Composting of paper and wood, incl. land application",2.1599190310390284e-14,6.4953310107868316e-15,3.4410954857260745e-15,5.324666396362435e-16,6.260478396858624e-16,7.125394762010428e-16,8.692324682689172e-16,3.758999395895927e-16,3.459094754312962e-16,6.737313261717223e-16,1.2195288847124486e-14,3.6930850529988336e-16,2.4904218071621515e-16,2.20983584914996e-15,5.285542056551921e-16
China,Activity,Computer and related activities (72),1.3426395290272194e-12,1.0592043061756325e-12,5.966754051291906e-13,6.930137486192434e-14,9.489175260265915e-14,1.0673588655425018e-13,1.228382128675006e-13,5.671748509929044e-14,5.284154616310347e-14,9.819539206482865e-14,7.774736423588862e-13,4.158163990802029e-14,3.824685654499915e-14,3.6939773902490653e-13,8.282350081334993e-14
China,Activity,Construction (45),1.265717897472426e-11,3.8579286938504065e-12,2.9902336380832948e-12,7.315954969191345e-13,1.4029268647052954e-12,1.847569900174946e-12,1.2669383880153916e-12,1.327859251154759e-12,1.0157370255254247e-12,1.5391786857281878e-12,8.225170089902602e-12,5.120125275324373e-13,4.06048229513757e-13,2.433662608671899e-12,1.6263659065546362e-12
China,Activity,Copper production,3.748377818862381e-12,2.1441439347506666e-11,9.762485169615529e-12,4.183672983709045e-13,6.369619502538496e-13,8.29299650711789e-13,8.521281584495496e-13,3.9644281908806584e-13,3.6341779224798205e-13,6.30098525589786e-13,2.2833836975419763e-12,1.91863103316078e-13,2.5636339156879316e-13,6.212172048535318e-12,5.770373140370711e-13
China,Activity,Cultivation of cereal grains nec,2.1194259523861227e-10,5.463857917555986e-11,3.1205022472206583e-11,6.207440940427552e-12,6.138319072789658e-12,8.6270305329222e-12,9.808773802790522e-12,3.599688127939351e-12,3.142760120475056e-12,7.081371377493559e-12,1.1965785515131893e-10,3.2753832587336928e-12,2.7600527312489926e-12,1.9375446628374922e-11,5.233579456055317e-12
China,Activity,Cultivation of crops nec,1.8298940540403215e-10,5.9569072774274e-11,3.354896450386139e-11,9.892386184087617e-12,1.3246927337753125e-11,7.812874044934388e-12,9.673437393611509e-12,4.424615542294595e-12,3.557215004499801e-12,8.17815576332396e-12,1.0360017833126692e-10,3.0564804018026464e-12,3.0839302420644484e-12,2.1089053835165563e-11,5.950215418656576e-12
