Region,,,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
Level,,,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity
Item,,,Services,Transport,Metals,"Agriculture, cattling & fishering",Chemicals,Fuels extraction,Food,Fuels refinery,Other manufacturing,Mining & quarrying,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Offshore wind plants,Onshore wind plants,PV plants,Services,Transport,Metals,"Agriculture, cattling & fishering",Chemicals,Fuels extraction,Food,Fuels refinery,Other manufacturing,Mining & quarrying,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Offshore wind plants,Onshore wind plants,PV plants,Services,Transport,Metals,"Agriculture, cattling & fishering",Chemicals,Fuels extraction,Food,Fuels refinery,Other manufacturing,Mining & quarrying,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Offshore wind plants,Onshore wind plants,PV plants,Services,Transport,Metals,"Agriculture, cattling & fishering",Chemicals,Fuels extraction,Food,Fuels refinery,Other manufacturing,Mining & quarrying,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Offshore wind plants,Onshore wind plants,PV plants,Chemicals,Transport,Metals,Mining products,"Agriculture, cattling & fishering",Primary fuels,Refined fuels,Food,Other manufacturing products,Cement and related products,Services,Construction,Electrical machinery,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Offshore wind plants,Onshore wind plants,PV plants,Chemicals,Transport,Metals,Mining products,"Agriculture, cattling & fishering",Primary fuels,Refined fuels,Food,Other manufacturing products,Cement and related products,Services,Construction,Electrical machinery,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Offshore wind plants,Onshore wind plants,PV plants,Chemicals,Transport,Metals,Mining products,"Agriculture, cattling & fishering",Primary fuels,Refined fuels,Food,Other manufacturing products,Cement and related products,Services,Construction,Electrical machinery,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Offshore wind plants,Onshore wind plants,PV plants,Chemicals,Transport,Metals,Mining products,"Agriculture, cattling & fishering",Primary fuels,Refined fuels,Food,Other manufacturing products,Cement and related products,Services,Construction,Electrical machinery,Electricity by other RES,Electricity by fossil fuels,Electricity by nuclear,Electricity by PV,Electricity by wind,Offshore wind plants,Onshore wind plants,PV plants
Region,Level,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Activity,Services,1.6903438380628651e-09,4.828771372278292e-10,4.487419807222756e-10,2.640544414487814e-10,4.1211202709098744e-10,4.624840779986125e-10,3.6453870784591907e-10,2.542597627182356e-10,4.2825073041849253e-10,6.227668741054733e-10,5.929425421543204e-10,6.740202734292651e-10,7.385370012845072e-10,8.57057574682196e-10,6.050536056827182e-10,0.0,0.0,0.0,2.7798232724640388e-12,3.66354393197419e-12,8.519639601961725e-12,4.328279118243913e-12,9.9774671939351e-12,3.350394078021137e-12,4.7551003780024286e-12,5.458058878226905e-12,1.1040946721664344e-11,5.034453342531316e-12,2.729424790482599e-12,4.943158575826602e-12,1.959306414226776e-12,1.2752590707087663e-12,1.669496466702395e-12,0.0,0.0,0.0,7.1017096712014855e-12,7.0216771781077176e-12,1.6948034277063593e-11,6.049650034800058e-12,3.144844581668648e-11,5.270124391011053e-12,8.481427735087967e-12,6.0303250709429814e-12,2.3858125046567834e-11,7.600338416476349e-12,6.380437044272395e-12,8.710702524546177e-12,5.807568426947808e-12,3.5319351323749424e-12,8.94554722228628e-12,0.0,0.0,0.0,2.841000446490461e-12,2.20304151399851e-12,1.0094216763507331e-11,2.314664364839493e-12,1.0341387359364918e-11,2.7942112573847324e-12,6.3206419306884366e-12,4.551559689352431e-12,1.1142478584539265e-11,2.9505726943132787e-12,9.61435223130143e-13,1.5927945394288132e-12,5.507504407024973e-13,5.509191023639917e-13,1.0241761183842518e-12,0.0,0.0,0.0,4.131404637843651e-10,4.828771372357795e-10,4.487419807259898e-10,6.227668742169658e-10,2.6405444145492096e-10,4.624840780133565e-10,2.542597627174942e-10,3.645387078520496e-10,4.2916345715271255e-10,4.4874198074744456e-10,1.6891074003427458e-09,1.690343838062717e-09,4.282507304221033e-10,5.929447253246582e-10,6.740202734366439e-10,7.385370014133005e-10,8.570575746820146e-10,6.050536056827504e-10,0.0,0.0,0.0,1.0196038301269766e-11,3.654727118974179e-12,8.584357866051352e-12,5.28521116114365e-12,4.324444209377361e-12,3.3782942871079925e-12,5.631832774322734e-12,4.694797795944358e-12,1.0662104362900273e-11,8.39352442123232e-12,2.9161017299120605e-12,2.847660573363655e-12,1.0455962763992328e-11,2.839016190477325e-12,4.9830736936821025e-12,2.0297459155929967e-12,2.7125053778935645e-12,1.8416684374654374e-12,0.0,0.0,0.0,2.952119899672564e-11,7.037427806664077e-12,1.6921316048489045e-11,7.720781758492814e-12,6.064652251366652e-12,5.309377857016267e-12,6.376403647036639e-12,8.453499696500042e-12,2.333923604661426e-11,1.6487293265007524e-11,7.197156317760006e-12,7.111652961656354e-12,2.329794717191139e-11,6.8196525759081056e-12,8.756686749039311e-12,6.1155744535524775e-12,7.492726436018103e-12,9.44256096504584e-12,0.0,0.0,0.0,1.0341769050034306e-11,2.243496114142238e-12,1.0117594853617636e-11,3.0460700550426075e-12,2.3166552661969913e-12,2.7944293366751986e-12,4.505281909187525e-12,6.329761766407892e-12,1.1113605142339407e-11,1.0085170071787772e-11,2.874175779803665e-12,2.8410004464957075e-12,1.1135033786047011e-11,1.1713231534109026e-12,1.7072530287117825e-12,7.743111944854539e-13,8.652823707481969e-13,1.2792739406417078e-12,0.0,0.0,0.0
China,Activity,Transport,3.021114303515951e-11,7.785788120164924e-10,2.4349055078991712e-11,1.0773980395311378e-11,1.84838089370305e-11,2.6538579520010104e-11,1.9334357709771663e-11,1.468969039688169e-11,2.240702624987306e-11,4.178322397665391e-11,1.9069702148877706e-11,2.4235102941489756e-11,2.6434678118367215e-11,2.0069629559243694e-10,6.171116218563612e-11,0.0,0.0,0.0,2.3071660512083314e-13,1.6476414746899925e-12,6.101408404645074e-13,3.029098719479319e-13,6.133267412809561e-13,3.271244529332111e-13,3.77025505731323e-13,5.5854228069487e-13,6.817852227783411e-13,5.514680837303195e-13,2.1518676743631374e-13,7.502429754476949e-13,1.5068769472330415e-13,3.1220430646753364e-13,1.382838788534417e-13,0.0,0.0,0.0,4.0308571995062737e-13,6.804269558129929e-13,9.693545679849233e-13,3.27521775094072e-13,1.5929093620875626e-12,2.9299205404368375e-13,4.722568549081442e-13,3.462649618915774e-13,1.2891949030948352e-12,4.790782223121845e-13,4.08958000916285e-13,5.142200197508081e-13,3.459131656200594e-13,3.4199573287448055e-13,9.380738338032717e-13,0.0,0.0,0.0,2.1150596761585144e-13,1.6437662380194513e-13,5.898849944974329e-13,1.65296306312557e-13,5.476219880532737e-13,1.6519439769163763e-13,3.762929627078476e-13,2.7373155329798346e-13,6.147621902863914e-13,1.9261253397325354e-13,7.305667846706915e-14,1.117156871585156e-13,3.927940623655726e-14,7.797259754632966e-14,7.827539004639045e-14,0.0,0.0,0.0,1.873381543527777e-11,7.78578812029311e-10,2.4349055079193244e-11,4.178322398413425e-11,1.0773980395561884e-11,2.653857952085615e-11,1.4689690396838854e-11,1.9334357710096813e-11,2.2493528618234673e-11,2.4349055080357397e-11,3.0197779395965505e-11,3.021114303515687e-11,2.240702625006198e-11,1.906992509701022e-11,2.4235102941755068e-11,2.6434678122977157e-11,2.0069629559239452e-10,6.171116218563935e-11,0.0,0.0,0.0,6.311876927025526e-13,1.5909976760996832e-12,6.084586242110874e-13,5.238152027870182e-13,3.0313046113369226e-13,3.2888602995143797e-13,5.609393880534163e-13,3.7299846973121534e-13,6.648603011800859e-13,6.015267346084253e-13,2.469184723344838e-13,2.3975877791101496e-13,6.586857556873138e-13,2.2368772536779715e-13,7.445013237118675e-13,1.5643018788332983e-13,3.4476236198611156e-13,1.4955896830616015e-13,0.0,0.0,0.0,1.503702886340536e-12,6.768320444281994e-13,9.660022254532158e-13,4.842716895289309e-13,3.2842862889763376e-13,2.9554527190657436e-13,3.6383150997560703e-13,4.699763525428839e-13,1.2625421965043396e-12,9.420611439688583e-13,4.088267828823085e-13,4.037361707314077e-13,1.2601556890677444e-12,4.306498718155071e-13,5.163304094347198e-13,3.6307210992108677e-13,4.942940041965596e-13,8.013854872555135e-13,0.0,0.0,0.0,5.507002387571126e-13,1.6736521548388231e-13,5.901819487615612e-13,1.9773827043127033e-13,1.6547109743275748e-13,1.6525014420089422e-13,2.6954152190720577e-13,3.7668202440139207e-13,6.135003020359706e-13,5.893201977930964e-13,2.129745885513896e-13,2.1150596761624196e-13,6.144842233129206e-13,8.72995074292369e-14,1.1979238701456428e-13,5.4961679267176385e-14,9.487872955939598e-14,9.57675412440339e-14,0.0,0.0,0.0
China,Activity,Metals,2.917754033534383e-11,1.7989372642031623e-11,2.4284160363259355e-10,7.449787246398325e-12,2.8608070197780157e-11,3.3278846436200926e-11,1.263559858567289e-11,1.4502619549421138e-11,5.883054833500935e-11,3.165096368922942e-11,1.910446977968608e-11,2.867712096996227e-11,1.8407027787370084e-11,1.9791445716964202e-11,1.5166441099295308e-11,0.0,0.0,0.0,4.577206967623364e-13,4.676730571031441e-13,2.4992093457330036e-12,6.707919104761529e-13,1.5100988147130304e-12,5.909801643567251e-13,7.341544904650798e-13,8.982895738284498e-13,2.0171151594539896e-12,8.577568101745651e-13,4.492184788746037e-13,8.213841304052685e-13,3.4116754619605314e-13,1.9582743743471513e-13,2.8704971821856823e-13,0.0,0.0,0.0,1.5204805903660604e-12,1.2009425688670457e-12,6.145222183988529e-12,8.589175986851503e-13,4.313820914796059e-12,1.1305273627184081e-12,1.3032876357809657e-12,1.0451962460573267e-12,4.936171247353443e-12,1.359200746407533e-12,9.233992536044402e-13,1.3397484872234086e-12,9.867473191972128e-13,4.992274036563131e-13,9.40939000092267e-13,0.0,0.0,0.0,5.104084957777487e-13,4.310503586670712e-13,3.0132567301889732e-12,4.1145724932146686e-13,1.4921732919927737e-12,5.9699367965191e-13,1.1642570942537797e-12,9.305525425617673e-13,2.19578145337874e-12,5.436027069143294e-13,1.7709309447192695e-13,3.003842218264796e-13,1.0341814474699628e-13,1.0057916992229134e-13,1.917160586812628e-13,0.0,0.0,0.0,3.053399357820562e-11,1.7989372642327805e-11,2.428416036346035e-10,3.165096369489582e-11,7.44978724657154e-12,3.327884643726183e-11,1.4502619549378849e-11,1.2635598585885389e-11,6.702681833789378e-11,2.428416036462141e-10,2.916490554199615e-11,2.917754033534128e-11,5.883054833550539e-11,1.9105147155628157e-11,2.8677120970276205e-11,1.840702779058009e-11,1.979144571696002e-11,1.5166441099296113e-11,0.0,0.0,0.0,1.6876799995317919e-12,4.729800762761512e-13,2.4133097556875317e-12,9.802175114698409e-13,6.709725201103071e-13,5.970719374102496e-13,9.5051936549197e-13,7.289814235883761e-13,1.973002532514239e-12,2.427590568894759e-12,4.829812047156282e-13,4.716788986671962e-13,1.942597413729711e-12,4.740326341179322e-13,8.330851941408496e-13,3.5546993695827593e-13,4.567978625743081e-13,3.207143039035867e-13,0.0,0.0,0.0,4.20061314645238e-12,1.2085426274265112e-12,6.020401531656252e-12,1.3938322682528148e-12,8.626937877317527e-13,1.1375016635000649e-12,1.121339677509481e-12,1.3103534700588018e-12,4.866465239692382e-12,5.815757398165291e-12,1.5365141693217626e-12,1.5211042335264435e-12,4.8519901810827776e-12,1.0936755921522602e-12,1.3656375551234564e-12,1.082394232316581e-12,1.7675017866474081e-12,1.36679160620271e-12,0.0,0.0,0.0,1.5581449050096706e-12,4.360826601912643e-13,2.9869630251150663e-12,5.772632929062561e-13,4.118315390105049e-13,5.969356061206398e-13,9.161747933425698e-13,1.1650096521827888e-12,2.196506843742383e-12,3.0081951084084057e-12,5.175809024453823e-13,5.104084957786909e-13,2.1987916978405335e-12,2.1654378645725215e-13,3.215498176970212e-13,1.4512193815897742e-13,1.6116582230914648e-13,2.3877068871207475e-13,0.0,0.0,0.0
China,Activity,"Agriculture, cattling & fishering",7.40689487118236e-10,1.3473396018587008e-09,4.380016438386721e-10,1.4855394551597525e-08,1.034658128638456e-09,5.032895782303073e-10,9.129024615813347e-09,2.9231404481273357e-10,8.286364826789433e-10,5.057743999088879e-10,3.9312983845087996e-10,5.417929911200805e-10,4.335504191458086e-10,6.780939672608559e-10,4.0254367077698755e-10,0.0,0.0,0.0,5.551107733939354e-12,7.716699381939131e-12,1.4534619319864513e-11,1.533749967949003e-11,2.2101429575951344e-11,6.304955591129379e-12,2.3592191820859787e-11,1.0842592091284467e-11,2.105513929790019e-11,9.961825486099583e-12,5.626375774044987e-12,9.670480570277593e-12,3.773758437638788e-12,2.5310037918100547e-12,3.22506002371408e-12,0.0,0.0,0.0,1.574980229162953e-11,1.3615473807817949e-11,2.468188772337071e-11,2.318935379784864e-11,1.002813384109692e-10,9.683982623926543e-12,5.62025572293454e-11,1.1676057176241171e-11,4.620870275537512e-11,1.465508757528733e-11,1.0657958471881088e-11,1.535511532184942e-11,1.0252056222128986e-11,7.791174330833652e-12,1.4318199056293875e-11,0.0,0.0,0.0,5.903083320489034e-12,4.207510061653636e-12,1.6313472894276913e-11,6.018845085204369e-12,2.440879882126969e-11,5.164242913609415e-12,3.246953623440967e-11,8.573418117261784e-12,2.112819677861678e-11,5.821963714930522e-12,1.842134455604224e-12,3.0271134655398326e-12,1.0493747878597092e-12,1.0934041971501776e-12,2.000890529187121e-12,0.0,0.0,0.0,1.0215294267218014e-09,1.3473396018808835e-09,4.3800164384229727e-10,5.057743999994356e-10,1.4855394551942929e-08,5.032895782463522e-10,2.9231404481188116e-10,9.129024615966872e-09,8.112367203086144e-10,4.3800164386323864e-10,7.403034454388026e-10,7.406894871181711e-10,8.286364826859302e-10,3.931379896275621e-10,5.417929911260118e-10,4.3355041922141555e-10,6.780939672607127e-10,4.025436707770088e-10,0.0,0.0,0.0,2.131352320019671e-11,7.685388951465194e-12,1.485480276400305e-11,1.2327426410529308e-11,1.5267235782146967e-11,6.363806741157848e-12,1.1129881525097407e-11,2.245948233668938e-11,2.0308717688712715e-11,1.4401849467483708e-11,5.823574622556988e-12,5.685997656446967e-12,1.990613184923156e-11,5.8262730034439185e-12,9.7624460039742e-12,3.918024734204063e-12,5.440425768651352e-12,3.5768756875451136e-12,0.0,0.0,0.0,9.181242831101304e-11,1.3693723124501467e-11,2.516875596389245e-11,1.5042480411280376e-11,2.326284513752807e-11,9.794031820147036e-12,1.2782028112246672e-11,5.3746415309473626e-11,4.5311870678007426e-11,2.4988674226122295e-11,1.5960876038176758e-11,1.5781083968163494e-11,4.512308096624017e-11,1.1731264312314318e-11,1.558010614116884e-11,1.1099152329119022e-11,1.5313340828733097e-11,1.935420196384666e-11,0.0,0.0,0.0,2.3960412256962716e-11,4.3150306788461685e-12,1.6450691983822752e-11,5.9595359677340665e-12,6.018407209945704e-12,5.165337642280503e-12,8.539552376341553e-12,3.2451229875992075e-11,2.1071013757791324e-11,1.6307579160240926e-11,5.960958209564226e-12,5.903083320499933e-12,2.1108649998421253e-11,2.276035936002722e-12,3.272521902922354e-12,1.5069253907911383e-12,1.7186268973113487e-12,2.5295083749700774e-12,0.0,0.0,0.0
China,Activity,Chemicals,3.706068851556017e-11,2.4381115002426203e-11,4.3158965692237333e-11,2.9637736117018274e-11,5.269776830674756e-10,3.4505193479646445e-11,3.488607875586793e-11,2.234124916169558e-11,5.943156404542343e-11,4.71763788055844e-11,1.9122098172665297e-11,2.8802497142589666e-11,2.0172821536644657e-11,2.419063991024206e-11,1.704273485927235e-11,0.0,0.0,0.0,7.427001538785072e-13,7.223749927884502e-13,2.047983642665372e-12,1.5826244160672862e-12,5.566879008799072e-12,7.025058644102607e-13,1.6427107298090096e-12,1.746500333669949e-12,2.7846134930859004e-12,1.3670646723314086e-12,8.713777109867959e-13,1.223123060388496e-12,5.017329115106965e-13,2.875964082602689e-13,4.46908532696071e-13,0.0,0.0,0.0,1.820318519780958e-12,1.6988642292524088e-12,3.0930945204965245e-12,2.602807134624564e-12,1.572892867508066e-11,1.3480184955295414e-12,2.686180801144424e-12,1.6281470635918122e-12,5.480546583302214e-12,1.8158143035698999e-12,1.2486995112970458e-12,1.7787666419533974e-12,1.1483814302686627e-12,1.843407466195385e-12,2.6011032375924517e-12,0.0,0.0,0.0,6.810022230213422e-13,5.948676755953108e-13,2.092744843321525e-12,5.932049256623576e-13,6.1635858534227256e-12,8.431991843193065e-13,1.9599962537173804e-12,1.3239701135789338e-12,2.8046080271882326e-12,9.789609341389865e-13,2.285411452230954e-13,3.9617481785294436e-13,1.2794365864488654e-13,1.3062778442761147e-13,2.505223290034446e-13,0.0,0.0,0.0,4.971833690672334e-10,2.4381115002827625e-11,4.315896569259453e-11,4.717637881403028e-11,2.963773611770739e-11,3.4505193480746466e-11,2.234124916163043e-11,3.488607875645462e-11,5.870674557642487e-11,4.315896569465801e-11,3.7048015392711765e-11,3.7060688515556914e-11,5.943156404592453e-11,1.9122889907302918e-11,2.8802497142904986e-11,2.0172821540162595e-11,2.4190639910236945e-11,1.7042734859273254e-11,0.0,0.0,0.0,4.366789320436068e-12,7.304830278769611e-13,2.092349362854105e-12,1.4660522184743191e-12,1.576341105058351e-12,7.155286135685024e-13,1.7657579407763454e-12,1.6041704559387714e-12,2.6996479172621387e-12,2.038685385194035e-12,7.809137941560145e-13,7.601413740269976e-13,2.6478770877491067e-12,8.913309714251115e-13,1.2365550171428195e-12,5.21483336022875e-13,7.911892363279095e-13,4.98639529064881e-13,0.0,0.0,0.0,1.4212689546324418e-11,1.705787274498074e-12,3.1530453420478595e-12,1.869677665529949e-12,2.603403931968381e-12,1.3592438655411889e-12,1.7779411078159745e-12,2.707465855118438e-12,5.390025556626021e-12,3.1460735433550753e-12,1.847758665935601e-12,1.8246253212984235e-12,5.3555105041599886e-12,1.3785376044941112e-12,1.8063954054727096e-12,1.2459035589370932e-12,2.2217610259442063e-12,2.7738426568149445e-12,0.0,0.0,0.0,5.7651780284327534e-12,6.003296865549949e-13,2.1199053043805116e-12,9.933669485855457e-13,5.935370248419656e-13,8.431142065098404e-13,1.3518096457270508e-12,1.969473089558652e-12,2.800141109165778e-12,2.0942750182091757e-12,6.906657445521266e-13,6.810022230225997e-13,2.8077662696451192e-12,2.8348057628329206e-13,4.2593337236091834e-13,1.8584004742051917e-13,2.149810019959467e-13,3.155319817123624e-13,0.0,0.0,0.0
China,Activity,Fuels extraction,1.0352325690848064e-11,4.1012425338467236e-11,2.999256973804301e-11,4.121558402276808e-12,2.3518396869044638e-11,6.633812689514272e-10,6.451368667603381e-12,1.524331904398094e-10,1.502364731398729e-11,2.8404840048048317e-11,8.074705285498654e-12,1.6687540978185926e-10,6.519736851496645e-12,1.5070165766225416e-11,8.392449776971972e-12,0.0,0.0,0.0,1.1925538456914415e-13,2.0750346561613553e-13,4.72579482919131e-13,2.0409527702424938e-13,4.970389929571876e-13,1.5480311477217988e-13,2.1696123571364745e-13,3.6335037280532093e-13,4.784521495594697e-13,2.4008460448364315e-13,1.292001750295162e-13,2.750191664391286e-13,8.665699039071385e-14,6.244825331173912e-14,7.873478749772491e-14,0.0,0.0,0.0,4.073937771615196e-13,6.334893263509618e-13,1.2079123141585694e-12,4.196689749294392e-13,1.7598083221179775e-12,3.5986292384827673e-13,4.695708759182457e-13,1.1204876850372235e-12,1.157330237681286e-12,5.049736861934906e-13,3.0951543016143013e-13,1.4017341591299732e-12,2.9701338396230437e-13,1.9526569079956048e-13,4.125976135107511e-13,0.0,0.0,0.0,1.236862138511625e-13,1.2627682250156783e-13,5.363049274381645e-13,1.0302296167021664e-13,5.159706608979964e-13,1.6532497499737557e-13,2.8796946538712083e-13,2.6871546828069274e-13,4.938720295926913e-13,1.3909725584569143e-13,7.483780370633891e-14,1.1821958433999683e-13,3.9349467736229455e-14,2.834710555471938e-14,5.776871319806168e-14,0.0,0.0,0.0,2.297707008732457e-11,4.101242533914247e-11,2.999256973829125e-11,2.840484005313356e-11,4.121558402372638e-12,6.633812689725757e-10,1.5243319043936487e-10,6.451368667711872e-12,1.56903970882519e-11,2.9992569739725224e-11,1.0474654281949679e-11,1.0352325690847156e-11,1.502364731411396e-11,8.07773995249544e-12,1.6687540978368614e-10,6.5197368526336215e-12,1.507016576622223e-11,8.392449776972418e-12,0.0,0.0,0.0,4.814362729491451e-13,2.0524228765798286e-13,4.654753003531312e-13,2.5589278417050234e-13,2.0373083437150514e-13,1.5647793947026844e-13,3.61921225687548e-13,2.139821732007911e-13,4.65452185012912e-13,4.626163882749979e-13,1.2705372551391736e-13,1.2299004152014464e-13,4.579125586760104e-13,1.3417645046236222e-13,2.7606731872274027e-13,9.011009183332253e-14,1.275339532065385e-13,8.688733233178693e-14,0.0,0.0,0.0,1.6534037935431824e-12,6.310602240295603e-13,1.1935288015200978e-12,5.120865850236106e-13,4.202251014493593e-13,3.6272875771631955e-13,1.0813755679156064e-12,4.724566736802179e-13,1.1427159305723612e-12,1.1655675733769748e-12,4.180625589655547e-13,4.0898344318216465e-13,1.1389894543796556e-12,3.453525452585837e-13,1.3839138677342252e-12,3.208364724496524e-13,5.011951725881516e-13,4.949245373644689e-13,0.0,0.0,0.0,5.104176361530792e-13,1.2611254541596693e-13,5.349345889117091e-13,1.4476198068300989e-13,1.0310112180319441e-13,1.6529267795820562e-13,2.639336913579416e-13,2.8848568775189805e-13,4.933364883199426e-13,5.357074751718427e-13,1.2557293435427504e-13,1.236862138513909e-13,4.941516522372345e-13,8.221274773690389e-14,1.207027003203239e-13,4.8977248178955577e-14,4.423673407254006e-14,6.861824370578072e-14,0.0,0.0,0.0
China,Activity,Food,2.317545516845637e-11,1.3594857406028952e-11,1.3278484763783349e-11,6.230935110917225e-11,2.834793347283546e-11,1.1473397332439791e-11,4.819319702905014e-10,9.232659420650018e-12,1.8297408099359957e-11,1.4235616445264517e-11,1.242335988060427e-11,1.613361717327847e-11,1.36627063256181e-11,1.4157809004102854e-11,1.102481902006306e-11,0.0,0.0,0.0,1.4286214037644223e-13,1.5338231702174134e-13,3.5525142714210005e-13,3.955914232225004e-13,5.55851450400569e-13,1.4734686530611403e-13,7.614834541468715e-13,2.5781818261334674e-13,4.970597059806615e-13,2.4279909621572233e-13,1.348350024525544e-13,2.2387365695076854e-13,9.2261296766782e-14,5.685910761348996e-14,7.83631033166548e-14,0.0,0.0,0.0,3.9762411348570846e-13,3.2332875650064414e-13,6.423256195300376e-13,5.033284425901816e-13,2.1396089544220193e-12,2.358569083709801e-13,1.562633337548041e-12,2.752589175230483e-13,1.0710921958047644e-12,3.2893235039795737e-13,2.567127803776305e-13,3.741631607412708e-13,2.513537701654044e-13,1.9124654537292512e-13,3.470210917636174e-13,0.0,0.0,0.0,1.576757873006033e-13,1.0894058231273314e-13,4.1371092212640726e-13,1.5857631789230974e-13,5.909877801672671e-13,1.3046522679807385e-13,1.0638657996288592e-12,2.152181565333854e-13,5.031167840697057e-13,1.4569911724528415e-13,4.651949128571515e-14,7.601390160054699e-14,2.640146408776281e-14,2.634066053030988e-14,5.0325116698594317e-14,0.0,0.0,0.0,2.7707465084688868e-11,1.3594857406252784e-11,1.327848476389325e-11,1.4235616447813088e-11,6.230935111062099e-11,1.1473397332805563e-11,9.232659420623095e-12,4.819319702986062e-10,1.807385386118089e-11,1.327848476452811e-11,2.316345071910805e-11,2.3175455168454344e-11,1.8297408099514232e-11,1.2423486853039492e-11,1.6133617173455096e-11,1.3662706328000737e-11,1.4157809004099862e-11,1.1024819020063641e-11,0.0,0.0,0.0,5.246094242121422e-13,1.5434486934312509e-13,3.6203237971701045e-13,3.276878950649727e-13,3.9402233407141563e-13,1.4893317511400993e-13,2.649041252351118e-13,7.198930496901568e-13,4.803654386232772e-13,3.520559956811331e-13,1.4899855503333497e-13,1.4586260821284616e-13,4.711176204399674e-13,1.4009598607515116e-13,2.2654202287045776e-13,9.583751775096569e-14,1.3073457255732127e-13,8.705832800933529e-14,0.0,0.0,0.0,1.9691275384459868e-12,3.254520744809228e-13,6.503699295123761e-13,3.3837893379786907e-13,5.05787949321125e-13,2.383551018078524e-13,3.0015698258257033e-13,1.4839633240683204e-12,1.0515473101298242e-12,6.429667491254423e-13,4.0198098721080736e-13,3.981138126066182e-13,1.0475629195209805e-12,2.82910448268833e-13,3.793052803116063e-13,2.71904572925894e-13,3.7869045586181837e-13,4.612614315321746e-13,0.0,0.0,0.0,5.808830377298971e-13,1.1203100573814832e-13,4.1627623500627665e-13,1.4922383631884716e-13,1.5857291160867062e-13,1.3050083085260366e-13,2.1405629159058665e-13,1.0627933073499873e-12,5.021204156900935e-13,4.1351585255962914e-13,1.5895923040344804e-13,1.5767578730089447e-13,5.028105372142388e-13,5.80993647761662e-14,8.271875275629983e-14,3.852678694644837e-14,4.2829581771089004e-14,6.456169726529736e-14,0.0,0.0,0.0
