Region,,,China,China,China,China,China,China,China,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation
China,Sector,Construction (45),0.0,0.0,0.0,0.0,15773771965.984322,0.0,1417196456677.5527,466229.81820981164,0.0,0.0,305244.50780706457,22689792.75884355,0.0,1086610942.2766423,7991.489709309271,0.0,0.0,297772.700262245,24981726.02539157,3749.9585112954414,3961706047.6393747,0.0,0.0,0.0,0.0,0.0,0.0,169675100.8565495
China,Sector,Copper production,994158933.3803536,0.0,0.0,0.0,0.0,0.0,0.0,4352973.157490021,0.0,0.0,0.0,0.0,0.0,1831114.3901831582,4955674.459800834,0.0,0.0,0.0,0.0,0.0,58307310.06892626,552313.8065026001,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cultivation of cereal grains nec,287662446.7317074,0.0,0.0,870812165.3158789,11189912810.12293,927755079.8985494,0.0,106210.50314011775,0.0,0.0,12300.481475140592,1555360.9133818513,581.6230343691723,0.0,82362.62990656713,0.0,0.0,3433.806603509089,8666331.837108258,3617.5603048959047,43124.38217681277,6171.771257854391,0.0,0.0,0.0,41107.70570556581,0.0,0.0
China,Sector,Cultivation of crops nec,511859153.9546751,0.0,0.0,363043516.91316843,2326628467.06429,242217133.81466347,0.0,9963912.986288153,0.0,0.0,98142.32011906213,152360806.3957333,90564.0845839779,5673670.2264485555,2630476.928176017,0.0,0.0,81332.9234913283,843594221.5599656,47755.869955254544,49610596.60777077,59389.22419350944,0.0,0.0,0.0,8296538.415754351,0.0,0.0
China,Sector,Cultivation of oil seeds,50819.802146601134,0.0,0.0,644505301.2220178,0.0,1493791432.782039,0.0,4889283.217759774,0.0,0.0,6013.757365779902,58738628.329274304,7764.997770220398,0.0,1941436.4431699435,0.0,0.0,5221.640167488802,34441724.17997542,3949.633700459479,0.0,64859.61579279535,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cultivation of paddy rice,54113.18416621544,0.0,0.0,123922937.23436776,0.0,495977583.49813086,0.0,335.80336347223005,0.0,0.0,0.0,115921.58221629809,1.3096216259632678,0.0,0.10823546745643622,0.0,0.0,90.95114530512745,13965.735866549829,154.88794413781412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cultivation of plant-based fibers,70003459.44151913,0.0,0.0,84255900.32554314,0.0,45729071.10415591,0.0,2751.2666303919573,0.0,0.0,21.354238647870314,490657.0818620155,0.0,0.0,156632.42426934312,0.0,0.0,1075.2583283246474,133320.9338886338,1.4209987083947704,87794.98714659555,849.0294681192427,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Cultivation of sugar cane, sugar beet",29870.729895345372,0.0,0.0,719283007.4644631,13164728.20033623,2104349556.9434512,0.0,2528.750512502263,0.0,0.0,0.0,0.0,0.0,0.0,0.8802193015721153,0.0,0.0,0.00043625449479792796,0.12222251871075164,0.1451997318978383,0.0,1.8260818883948235,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Cultivation of vegetables, fruit, nuts",3389043874.5875454,0.0,0.0,1458219910.298377,94205019095.44798,2064257269.7239456,0.0,2132953.386660215,0.0,0.0,145128.22581574172,280547976.2267117,992436.3834012419,0.0,5232946.5312521765,0.0,0.0,7470.312780886705,3284401002.2619557,7697.1445658591565,53742696.74962553,542576.2999521528,0.0,0.0,0.0,152294139.3569125,0.0,0.0
China,Sector,Cultivation of wheat,35875.003099728885,0.0,0.0,1928499298.0646832,0.0,2035695851.55842,0.0,408.4881657976271,0.0,0.0,0.0,17080.815043844214,0.007733359889318932,0.0,1048.0624261223288,0.0,0.0,22064.817741001418,2108277.0557739837,6.893066831115962,29.77252576781669,806.8566574705243,0.0,0.0,0.0,830.710794196939,0.0,0.0
