Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by wind,Production of electricity by solar photovoltaic
China,Activity,Incineration of waste: Wood,2.3565201833713962e-14,4.813027916167876e-15,2.6987781480007204e-15,1.6702062517417113e-15,1.2972563793634534e-14
China,Activity,Inland water transport,2.7064181470383683e-13,1.3330055529831123e-13,7.051459949486759e-14,4.339494873406918e-14,1.5074020914753991e-13
China,Activity,"Insurance and pension funding, except compulsory social security (66)",9.181746128495201e-13,3.8290942440998703e-13,2.0009180125723238e-13,1.2864252934717863e-13,5.125250851037753e-13
China,Activity,Landfill of waste: Food,4.2730417081802347e-13,8.931559409128256e-14,4.885704266019554e-14,2.9858087298333205e-14,2.347935106175063e-13
China,Activity,Landfill of waste: Inert/metal/hazardous,1.3074196034172226e-13,2.530405861539099e-14,1.4053321639268479e-14,8.672190538112003e-15,7.188113444138694e-14
China,Activity,Landfill of waste: Paper,1.6515831023018276e-13,3.312338443782656e-14,1.8126574697405495e-14,1.1093059431944359e-14,9.072552597796708e-14
China,Activity,Landfill of waste: Plastic,1.3797573834239558e-13,2.917284231044727e-14,1.599000788440622e-14,9.768509401127012e-15,7.582623992223135e-14
China,Activity,Landfill of waste: Textiles,5.98291934931608e-14,1.2513926270246126e-14,6.873138404348649e-15,4.20227127814722e-15,3.288086587128154e-14
China,Activity,Landfill of waste: Wood,7.351267216527548e-14,1.5477272578183827e-14,8.489088271514762e-15,5.1977197111929096e-15,4.040539332145075e-14
China,Activity,"Lead, zinc and tin production",2.3815033064457613e-13,3.631130749608251e-13,1.7377333212212032e-13,1.0842487455343762e-13,1.3544413144067696e-13
China,Activity,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,2.3782277273904404e-11,5.7858467550603806e-11,2.7643280661360466e-11,1.705111973509101e-11,1.3643458882154938e-11
China,Activity,Manufacture of beverages,2.0073126465005384e-13,1.3169458353428659e-13,6.928783991136178e-14,4.3448477094845223e-14,1.1303466442534503e-13
China,Activity,"Manufacture of bricks, tiles and construction products, in baked clay",1.893763962499932e-14,1.1406376287420816e-14,7.973433239577248e-15,5.196665766652368e-15,1.1316014093717296e-14
China,Activity,"Manufacture of cement, lime and plaster",8.270039925132717e-14,2.457564771224504e-14,2.46039951790239e-14,1.7175813056808485e-14,5.124988563102679e-14
China,Activity,Manufacture of ceramic goods,8.69140082982641e-13,1.0475106929458054e-12,5.562790854257584e-13,3.6423225842355715e-13,5.201531386547255e-13
China,Activity,Manufacture of coke oven products,1.5917772926798484e-12,1.3828423221340055e-12,6.89126203746598e-13,4.185427789984035e-13,8.849131940907325e-13
China,Activity,Manufacture of electrical machinery and apparatus n.e.c. (31),1.5275470796403594e-11,1.3847858487742326e-10,5.994536855175775e-11,3.7381307098633594e-11,8.959296313400029e-12
China,Activity,"Manufacture of fabricated metal products, except machinery and equipment (28)",1.672654469433358e-11,1.8799652589677182e-11,9.975054649921543e-12,6.1000918365286205e-12,9.488597735564638e-12
China,Activity,Manufacture of fish products,8.279273409939723e-13,5.619492589345072e-13,2.937171589100742e-13,1.8373820790420316e-13,4.651527523773327e-13
China,Activity,Manufacture of furniture; manufacturing n.e.c. (36),1.038075798243289e-11,8.679375760007216e-12,4.41141207524525e-12,2.8077943662018285e-12,5.819775578405137e-12
China,Activity,Manufacture of gas; distribution of gaseous fuels through mains,6.747716465393503e-13,2.911243270688773e-13,1.5638162559604615e-13,9.360587762194985e-14,3.726336975886932e-13
China,Activity,Manufacture of glass and glass products,1.0089603658692489e-10,3.236183406307988e-12,1.7601913459766789e-12,1.0406503029949574e-12,5.495669009606281e-11
China,Activity,Manufacture of machinery and equipment n.e.c. (29),0.0,0.0,0.0,0.0,0.0
China,Activity,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",2.164650474232286e-12,3.695965513377868e-12,2.038983231328826e-12,1.519168826168969e-12,1.4371903514163023e-12
China,Activity,"Manufacture of motor vehicles, trailers and semi-trailers (34)",1.743581291600848e-11,2.91218970644872e-12,1.730115735942964e-12,1.0313691174260207e-12,9.58844804226714e-12
China,Activity,Manufacture of office machinery and computers (30),3.1660203433446317e-12,2.7997523272628622e-12,1.8011506091614383e-12,1.252069545882291e-12,1.9630490717935156e-12
China,Activity,Manufacture of other non-metallic mineral products n.e.c.,3.662123579694794e-11,1.353716822931922e-12,7.284508184391753e-13,4.382295081408361e-13,1.9955318024934956e-11
China,Activity,Manufacture of other transport equipment (35),3.140710691339393e-12,1.16360345172519e-12,6.830517020008094e-13,4.2355403588129923e-13,1.7556952184154448e-12
China,Activity,"Manufacture of radio, television and communication equipment and apparatus (32)",3.908532019929642e-12,9.479192480427493e-12,5.160638789601521e-12,3.5763621993771007e-12,2.5854324946153204e-12
China,Activity,Manufacture of rubber and plastic products (25),2.9451052779441815e-11,2.5950283914839427e-11,1.326318392367116e-11,8.262077083460399e-12,1.6596645593051116e-11
China,Activity,Manufacture of textiles (17),9.764542485676557e-12,5.215289280915416e-12,2.9219913784945725e-12,1.824275049119699e-12,5.4858492716333936e-12
China,Activity,Manufacture of tobacco products (16),2.2412556475658065e-14,7.018064508855861e-15,3.7723359029731505e-15,2.2231695868694424e-15,1.2304698774173092e-14
China,Activity,Manufacture of wearing apparel; dressing and dyeing of fur (18),3.0295762768481735e-12,1.0657688358004984e-12,5.92928562604918e-13,3.6911688947839875e-13,1.6832546211307041e-12
China,Activity,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",2.5932967578568934e-13,1.6349686757862503e-13,1.6225651565990028e-13,9.375499291442112e-14,1.6097543792755842e-13
China,Activity,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0,0.0
China,Activity,Meat animals nec,2.9449545081853943e-11,1.5509958121384356e-12,1.1738064230719963e-12,6.408805575139959e-13,1.610175550509414e-11
China,Activity,Mining of aluminium ores and concentrates,5.037528289028051e-13,3.5046260889152747e-13,2.0346638526600648e-13,1.1857701040023516e-13,2.8174118828429914e-13
China,Activity,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",2.1724811112476478e-13,8.839154992452815e-14,6.621100709002338e-14,3.722999229114296e-14,1.221661586222444e-13
China,Activity,Mining of coal and lignite; extraction of peat (10),3.085421894606147e-11,1.6271881728119862e-11,8.108185711782813e-12,4.98163503497176e-12,1.7046081708097732e-11
China,Activity,Mining of copper ores and concentrates,2.9186341702826884e-12,5.318416283458722e-12,2.6735434874292623e-12,1.576509734051781e-12,1.6378361593177443e-12
China,Activity,Mining of iron ores,3.5129373525388843e-13,6.1942449433059e-13,3.133628653323996e-13,1.8888565341800006e-13,1.9957774589833055e-13
China,Activity,"Mining of lead, zinc and tin ores and concentrates",1.764808735504401e-13,8.396980458496128e-14,5.390347268104324e-14,2.889892253666279e-14,9.737340612556179e-14
China,Activity,Mining of nickel ores and concentrates,4.764460870656564e-13,6.473775282627743e-13,6.821580480661243e-13,2.948170572018171e-13,2.685479749920277e-13
China,Activity,Mining of other non-ferrous metal ores and concentrates,2.859312423265404e-12,2.8902892341750063e-12,4.132653920337505e-12,1.6242276214873219e-12,1.6044081592479428e-12
China,Activity,Mining of precious metal ores and concentrates,3.6776537486062145e-11,2.5034604501048316e-12,1.2154096474964706e-12,7.659498248445895e-13,2.0054991762237655e-11
China,Activity,Mining of uranium and thorium ores (12),3.836396665633257e-14,4.701351547836824e-14,2.4145007287109224e-14,1.5691747390658604e-14,2.220265230974188e-14
China,Activity,N-fertiliser,3.642787806835024e-15,1.289441237832886e-15,7.566815812938265e-16,5.451949872915636e-16,2.0387507927781824e-15
China,Activity,Other business activities (74),4.109342395286217e-12,2.4507329591460727e-12,1.2874147022392441e-12,8.599015303445781e-13,2.3245063483475945e-12
China,Activity,Other land transport,1.603588978912358e-11,6.763217755432718e-12,3.651058236560654e-12,2.287928421917504e-12,8.947239855943456e-12
China,Activity,Other non-ferrous metal production,5.91928191594733e-13,9.074984190183693e-13,1.4510081912308356e-12,5.510559911449857e-13,3.3685571082334477e-13
China,Activity,Other service activities (93),0.0,0.0,0.0,0.0,0.0
China,Activity,P- and other fertiliser,6.975010033486205e-13,2.8442472088515966e-13,1.7545113379358336e-13,1.1199916921570432e-13,3.927787108807126e-13
China,Activity,Paper,3.369701539317427e-12,1.5880024968739091e-12,8.153547195607649e-13,5.222449055166659e-13,1.876276342447726e-12
China,Activity,Petroleum Refinery,1.13892801063728e-11,4.156034744760547e-12,2.2786384155780663e-12,1.3991673638227738e-12,6.311966572429301e-12
China,Activity,Pigs farming,1.5798045232443862e-10,7.979017272540388e-12,6.174632002227285e-12,3.3546954788670924e-12,8.637455372840176e-11
China,Activity,"Plastics, basic",1.6631325323047464e-12,2.0210081192768074e-12,1.008017613568486e-12,6.314213510757597e-13,9.45993161729793e-13
China,Activity,Post and telecommunications (64),3.681396049627002e-12,2.6887252849450654e-12,1.4068166983799241e-12,9.570429108991218e-13,2.110828046447054e-12
China,Activity,Poultry farming,1.0413363961821785e-11,3.059409095518669e-12,1.7527709164329976e-12,1.0801611842033698e-12,5.780933514269363e-12
China,Activity,Precious metals production,9.039818560710164e-12,5.920873042477096e-13,2.857496291690031e-13,1.809530163670096e-13,4.929339037090289e-12
China,Activity,Private households with employed persons (95),1.8428265931292998e-14,7.23197580984051e-15,4.25826097741907e-15,2.4867868673279842e-15,1.02156282741276e-14
China,Activity,Processed rice,9.6332409011616e-15,3.777766874163244e-15,2.021599941647885e-15,1.2682769697796811e-15,5.344406365973004e-15
China,Activity,Processing of Food products nec,0.0,0.0,0.0,0.0,0.0
China,Activity,Processing of dairy products,1.3468988789399829e-14,4.526242931860468e-15,2.5098764067687677e-15,1.5511832853274955e-15,7.469157116369361e-15
China,Activity,Processing of meat cattle,2.324476063623812e-16,9.61197388922629e-17,5.436458040759225e-17,3.386298734225001e-17,1.3025461847501394e-16
China,Activity,Processing of meat pigs,1.2895784751724874e-16,4.7877100377474787e-17,2.714301672545835e-17,1.6870389630557664e-17,7.19556671034235e-17
China,Activity,Processing of meat poultry,2.4369446465418165e-14,8.774601997586483e-15,4.94217873342253e-15,3.0696803784739326e-15,1.3578963261433647e-14
China,Activity,Processing of nuclear fuel,2.9747706840450263e-16,2.269521369406123e-16,1.27319830653125e-16,7.948087914126565e-17,1.6975784341575913e-16
China,Activity,Processing vegetable oils and fats,1.9075085792039353e-14,7.901349440982539e-15,4.261080226181714e-15,2.65423055477431e-15,1.0611259312610379e-14
China,Activity,Production of electricity by Geothermal,2.1351270356275802e-16,3.530285249151883e-17,1.9233747593417916e-17,1.1449708305548501e-17,1.1686515025320246e-16
China,Activity,Production of electricity by biomass and waste,3.3631519763405017e-13,2.303518083847924e-15,1.675095464415831e-15,8.564562248545512e-16,1.830260344818323e-13
China,Activity,Production of electricity by coal,4.801745787117863e-11,5.629972598376629e-12,3.052155365069573e-12,1.8168675514531392e-12,2.6230438296047606e-11
China,Activity,Production of electricity by gas,8.152245841578071e-13,6.247224507535952e-14,3.404049390454684e-14,2.0192998841773315e-14,4.447090443917039e-13
China,Activity,Production of electricity by hydro,4.411306299878472e-12,4.4094449400760507e-13,2.389176460576622e-13,1.4218891553132596e-13,2.4082870980011992e-12
China,Activity,Production of electricity by nuclear,1.7283017334462205e-12,1.0662291148445226e-13,5.778207495836174e-14,3.4437861310606765e-14,9.423527152911536e-13
China,Activity,Production of electricity by petroleum and other oil derivatives,0.0,0.0,0.0,0.0,0.0
China,Activity,Production of electricity by solar photovoltaic,4.4358197496760873e-14,7.295588509717421e-18,4.984649550861453e-18,2.8729125643721997e-18,2.41346492201549e-14
China,Activity,Production of electricity by solar thermal,4.330457549370745e-15,1.5089653913063947e-18,8.883234781396207e-19,5.236415291772577e-19,2.3561494872443684e-15
China,Activity,"Production of electricity by tide, wave, ocean",9.353465434759078e-17,1.499531174871053e-17,8.171741438078419e-18,4.8584328547297154e-18,5.1183023907402795e-17
China,Activity,Production of electricity by wind,6.268661603730201e-13,5.4097735941436975e-15,3.170926007106166e-15,1.754880767676512e-15,3.4113640266542164e-13
China,Activity,Production of electricity nec,2.580319405345939e-14,1.0359260920029166e-14,5.639449401649905e-15,3.3536324775368674e-15,1.4236761203476403e-14
China,Activity,Production of meat products nec,6.859657340347787e-13,2.3909831876767094e-13,1.3656917071349634e-13,8.537193443175204e-14,3.822172730973496e-13
China,Activity,Production of offshore wind plants,0.0,0.0,0.0,0.0,0.0
China,Activity,Production of onshore wind plants,0.0,0.0,0.0,0.0,0.0
China,Activity,Production of photovoltaic plants,0.0,0.0,0.0,0.0,0.0
China,Activity,Public administration and defence; compulsory social security (75),1.148215278895616e-13,5.080053119605013e-14,2.675777864632802e-14,1.698679334513506e-14,6.42760880338583e-14
China,Activity,"Publishing, printing and reproduction of recorded media (22)",6.399726183991605e-12,3.4887577543492713e-12,1.8269788431465094e-12,1.1794843742331075e-12,3.590420475909087e-12
China,Activity,Pulp,7.635721903494673e-15,3.674032427794656e-15,1.95624021416324e-15,1.26370854554903e-15,4.2741763823157645e-15
China,Activity,Quarrying of sand and clay,1.0819560223443096e-11,1.4229442313606762e-12,7.724903424966105e-13,4.767820653709518e-13,5.924849841660964e-12
China,Activity,Quarrying of stone,9.044201106991864e-12,4.581103735598484e-13,2.593371873995861e-13,1.531718939856656e-13,4.93255464333471e-12
China,Activity,Raw milk,3.097076307852801e-12,8.409982869338954e-13,4.721268760825483e-13,2.90496044631463e-13,1.7114103300961025e-12
China,Activity,Re-processing of ash into clinker,0.0,0.0,0.0,0.0,0.0
China,Activity,Re-processing of secondary aluminium into new aluminium,0.0,0.0,0.0,0.0,0.0
China,Activity,Re-processing of secondary construction material into aggregates,0.0,0.0,0.0,0.0,0.0
China,Activity,Re-processing of secondary copper into new copper,0.0,0.0,0.0,0.0,0.0
China,Activity,Re-processing of secondary glass into new glass,0.0,0.0,0.0,0.0,0.0
China,Activity,"Re-processing of secondary lead into new lead, zinc and tin",0.0,0.0,0.0,0.0,0.0
China,Activity,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,0.0,0.0,0.0,0.0,0.0
China,Activity,Re-processing of secondary paper into new pulp,1.3984138518332844e-14,5.2169643851770257e-17,2.863865869090274e-17,1.7012614452005883e-17,7.609523196568398e-15
China,Activity,Re-processing of secondary plastic into new plastic,0.0,0.0,0.0,0.0,0.0
China,Activity,Re-processing of secondary preciuos metals into new preciuos metals,0.0,0.0,0.0,0.0,0.0
China,Activity,Re-processing of secondary steel into new steel,0.0,0.0,0.0,0.0,0.0
China,Activity,Re-processing of secondary wood material into new wood material,0.0,0.0,0.0,0.0,0.0
China,Activity,Real estate activities (70),4.2137465346595014e-13,1.602295823884743e-13,8.389151436398768e-14,5.2643524608682045e-14,2.343626754864089e-13
China,Activity,"Recreational, cultural and sporting activities (92)",5.016195762158435e-13,1.8487993984320096e-13,9.7267757531503e-14,5.970568460695854e-14,2.770742659453835e-13
China,Activity,Recycling of bottles by direct reuse,0.0,0.0,0.0,0.0,0.0
China,Activity,Recycling of waste and scrap,2.1287725831653786e-11,6.598065960849521e-12,3.391692867460807e-12,2.0532418199137424e-12,1.1691006277606051e-11
China,Activity,Renting of machinery and equipment without operator and of personal and household goods (71),6.761457666066139e-14,5.5276010539815597e-14,2.744514902096205e-14,1.6898439618961568e-14,3.769617875974193e-14
China,Activity,Research and development (73),5.695330128153625e-14,8.603154618361088e-14,4.4137632673233705e-14,2.873132716723988e-14,3.343488859444744e-14
China,Activity,Retail sale of automotive fuel,7.919124802456586e-13,3.8762464617456606e-13,2.3755585146454754e-13,1.5460989910278336e-13,6.461972599520879e-13
China,Activity,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",4.385413531399628e-11,1.8842136061292334e-11,1.0750994742427818e-11,6.8738688182032276e-12,2.68426183590731e-11
China,Activity,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",0.0,0.0,0.0,0.0,0.0
China,Activity,Sea and coastal water transport,2.4569934878752893e-10,3.982564020216473e-12,5.053612338981421e-12,2.2995346838133e-12,1.3404036738352229e-10
China,Activity,Steam and hot water supply,9.586626542929631e-14,4.510670534992904e-14,2.4108031422023806e-14,1.467719773199384e-14,5.315254386773348e-14
China,Activity,Sugar refining,1.045423353116484e-15,3.611223990726421e-16,1.9767543893987246e-16,1.2185211331965058e-16,5.795325464581167e-16
China,Activity,Supporting and auxiliary transport activities; activities of travel agencies (63),3.608067742164674e-11,1.5026473569978945e-11,8.23024742809873e-12,4.997509842661867e-12,2.0027132764570484e-11
China,Activity,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",2.619748170293874e-12,1.9858905124403857e-12,1.219234872428389e-12,7.795898408283473e-13,1.5208259643935077e-12
China,Activity,Transmission of electricity,2.2628032582345267e-15,8.793022171797178e-16,4.758189015256352e-16,2.8309270198598064e-16,1.2473330086985506e-15
China,Activity,Transport via pipelines,9.553514358633309e-13,2.8128770295630594e-13,1.6910568940694758e-13,9.915478486399988e-14,5.285102232431736e-13
China,Activity,Transport via railways,3.5627546570215442e-12,1.921961360940872e-12,1.0119128354142373e-12,6.191399807892412e-13,1.9826443208588453e-12
China,Activity,"Waste water treatment, food",4.635588755641331e-13,9.487795526586636e-14,5.18800589495712e-14,3.1646588273577674e-14,2.54623410167758e-13
China,Activity,"Waste water treatment, other",8.763356829633203e-13,1.7871831216866525e-13,9.75556707743828e-14,5.951808488983554e-14,4.812956532106522e-13
China,Activity,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",3.079738673090341e-11,1.6152566867393334e-11,9.0934712401841e-12,5.729348030691352e-12,1.7755189096145552e-11
China,Activity,"Wool, silk-worm cocoons",1.488988514283982e-12,5.255096158294478e-13,2.9366506836733645e-13,1.8335861912324627e-13,8.282646569545707e-13
EU27+UK,Activity,Activities auxiliary to financial intermediation (67),1.2331303947669912e-13,1.7750364762748996e-13,1.860033659306324e-13,2.2634071166362105e-13,1.5989446659757176e-13
EU27+UK,Activity,Activities of membership organisation n.e.c. (91),2.642934717855644e-13,3.984713240944931e-13,3.998100708485347e-13,1.0655556388933182e-12,6.727441017595028e-13
EU27+UK,Activity,Air transport (62),5.449834271446532e-13,8.394783710393474e-13,8.339258161315373e-13,7.768734684797592e-13,5.853921070875228e-13
EU27+UK,Activity,Aluminium production,2.666465621411496e-12,9.46641023877338e-13,8.602391182759687e-13,4.549424283655303e-13,1.5087725027006216e-12
EU27+UK,Activity,Animal products nec,1.4148004962872408e-14,2.3897569437325026e-14,2.5618098964205232e-14,2.0491764158924077e-14,1.6802692567470872e-14
EU27+UK,Activity,"Biogasification of food waste, incl. land application",1.6006826052638962e-14,2.606238051451324e-14,2.760324232612377e-14,2.4382222300106954e-14,1.4476843757527762e-14
EU27+UK,Activity,"Biogasification of paper, incl. land application",1.871195249519765e-15,2.811399006402504e-15,2.9125162805064543e-15,2.4363533597563994e-15,1.5759263986119959e-15
EU27+UK,Activity,"Biogasification of sewage slugde, incl. land application",7.891522726338318e-14,1.1703446976981193e-13,1.2177093769271804e-13,9.087697371530159e-14,6.545466199416754e-14
EU27+UK,Activity,Casting of metals,8.178819838958232e-13,1.8023103709330797e-12,1.631511201401455e-12,9.745140663537234e-13,6.737528365145789e-13
EU27+UK,Activity,Cattle farming,6.788353344210224e-14,1.0797875100643717e-13,1.0935369853778048e-13,9.699033664507738e-14,6.976155805581212e-14
EU27+UK,Activity,Chemicals nec,1.751665767562124e-12,1.7419194462882083e-11,1.2604509657821244e-11,6.64324364637507e-12,1.2584018159886936e-12
EU27+UK,Activity,"Collection, purification and distribution of water (41)",8.592329634959357e-13,7.461274090735693e-13,7.619890018515771e-13,1.2584803271374639e-12,8.802318007548332e-13
EU27+UK,Activity,"Composting of food waste, incl. land application",1.269599784692777e-13,1.4451287834640092e-13,1.5288495472316642e-13,1.5367468610426047e-13,1.0618361188004185e-13
EU27+UK,Activity,"Composting of paper and wood, incl. land application",5.365470292845647e-16,6.421790185628871e-16,6.760511889077127e-16,5.453759671211358e-16,4.54432167679744e-16
EU27+UK,Activity,Computer and related activities (72),6.794154121010097e-12,1.0684172272131928e-11,1.035467364273559e-11,1.0349897266891706e-11,7.291608048002854e-12
EU27+UK,Activity,Construction (45),1.7917472798965572e-10,2.4608880848947666e-11,9.238219162836046e-11,4.4726260973061e-11,1.134423472319165e-10
EU27+UK,Activity,Copper production,5.986826369466473e-13,1.4411295676803475e-12,1.2416147910338621e-12,7.076165592747327e-13,4.408648144845988e-13
EU27+UK,Activity,Cultivation of cereal grains nec,4.54918435600665e-13,8.891030613805125e-13,8.690083044641619e-13,5.954278121683617e-13,4.3853234683836615e-13
EU27+UK,Activity,Cultivation of crops nec,1.1371298639056476e-12,1.1072286244589523e-12,1.271027339728707e-12,8.741080893253952e-13,8.952455075398567e-13
EU27+UK,Activity,Cultivation of oil seeds,4.009384006892199e-13,8.214487479830353e-13,8.372922560510926e-13,5.461667263093955e-13,3.6956541070733117e-13
EU27+UK,Activity,Cultivation of paddy rice,6.936475121880888e-15,1.5808293252133014e-14,1.5802306691490104e-14,9.788552065402246e-15,5.952423725707823e-15
