Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by Geothermal,Production of electricity by biomass and waste,Production of electricity by coal,Production of electricity by gas,Production of electricity by hydro,Production of electricity by nuclear,Production of electricity by petroleum and other oil derivatives,Production of electricity by solar photovoltaic,Production of electricity by solar thermal,"Production of electricity by tide, wave, ocean",Production of electricity by wind,Production of electricity nec
Region,Level,Item,,,,,,,,,,,,,,,
China,Activity,Activities auxiliary to financial intermediation (67),1.1502733475341122e-12,5.537479592126398e-13,2.882591096299377e-13,3.8542774890357104e-14,4.5208830762065174e-14,5.096060802698109e-14,6.30451557602743e-14,2.7718436270734398e-14,2.2882421054823768e-14,5.455726067778283e-14,1.2457153673055195e-14,2.0734881566381284e-14,2.02699245907322e-14,1.9765755902292355e-14,3.82619481496705e-14
China,Activity,Activities of membership organisation n.e.c. (91),1.063697962284323e-14,1.7469114289380175e-15,9.4201290936284e-16,1.0938759872301115e-16,1.3809655564117066e-16,1.8512243821519505e-16,2.1565873649024862e-16,8.211730576996519e-17,7.070330253379497e-17,2.1434580810194356e-16,4.3164978527506384e-17,6.79323461863311e-17,6.271032752100987e-17,6.24187870200496e-17,1.2111959793667936e-16
China,Activity,Air transport (62),8.538146256806948e-12,3.869162421452197e-12,2.0732450842591086e-12,2.8944900107156283e-13,3.9638250859715357e-13,3.939384498961422e-13,5.019924185663198e-13,2.1241067523403258e-13,2.1728826554432832e-13,4.263196514749088e-13,1.1621901443596356e-13,2.144927033335459e-13,2.4474991403464904e-13,1.7254943655378655e-13,3.2424877759610146e-13
China,Activity,Aluminium production,6.431606042003398e-12,5.088687198325772e-12,2.4918268601867524e-12,1.811186198389732e-13,2.320021897003568e-13,3.097862469042086e-13,3.540642054490748e-13,1.422087773352446e-13,1.2500248368280083e-13,2.853305456739411e-13,6.954493865143844e-14,1.0738188526001848e-13,9.452162813892836e-14,1.1547192222937612e-13,2.1386140096639635e-13
China,Activity,Animal products nec,2.0961208985950255e-13,7.360428969720428e-14,4.45951423980081e-14,1.2796948359384256e-14,1.4326599614710833e-14,1.4748236067502445e-14,1.8683067753276045e-14,8.680672749165684e-15,6.5236206209493026e-15,1.735103409361154e-14,3.900078286833408e-15,6.646333463363711e-15,6.32876052000508e-15,5.379678073720647e-15,1.1464549397252818e-14
China,Activity,"Biogasification of food waste, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of paper, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Activity,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Activity,Casting of metals,9.403112366991492e-13,3.85314867562178e-12,1.7285360422865527e-12,6.244998550762134e-14,9.657082039716398e-14,1.3599804690757636e-13,1.3970904126861825e-13,5.818089908980768e-14,5.173124358341068e-14,1.1500360316704924e-13,2.9188469858602644e-14,4.338785275901261e-14,3.8686438149799815e-14,4.934770374813383e-14,8.66558987684531e-14
China,Activity,Cattle farming,1.3284650246117411e-12,4.2297706595540863e-13,2.516159413704893e-13,6.045072748078449e-14,6.7748372331107e-14,7.189810569288093e-14,9.401773332459474e-14,4.188168975427734e-14,3.094969155108327e-14,8.388959732518212e-14,1.7509493777047914e-14,2.7884950195813104e-14,2.9322037596770183e-14,2.5415819014507624e-14,5.358741683620396e-14
China,Activity,Chemicals nec,1.5171643848415825e-11,3.2043083478155686e-12,1.9345100380364687e-12,8.701306221922799e-13,7.955726657032455e-13,6.302457690469954e-13,1.0461528748876195e-12,5.268735192718691e-13,3.549044010831783e-13,1.0120525318691372e-12,1.5616665213940432e-13,2.7454947619042864e-13,3.5575283691263295e-13,2.8870436669955383e-13,6.218256558331055e-13
China,Activity,"Collection, purification and distribution of water (41)",9.583130262410382e-14,2.2879452631060726e-14,1.234179363619416e-14,1.7656725909001093e-15,1.977055111944988e-15,2.268142891050247e-15,2.828989013404654e-15,1.230096865233223e-15,9.991923237309699e-16,2.5527876844819245e-15,5.516855360026592e-16,9.070936971400777e-16,8.783372710022704e-16,8.754333394250968e-16,1.7274993086843714e-15
China,Activity,"Composting of food waste, incl. land application",4.661963296155152e-14,8.33729262128338e-15,4.667353325093688e-15,7.450642321010423e-16,8.738482709454929e-16,1.0405372156438222e-15,1.171691653370336e-15,5.694406011426144e-16,4.4612179355013e-16,1.452741920696492e-15,2.4781032976012073e-16,4.4049206272651353e-16,3.760536264996297e-16,3.948362529461779e-16,7.343599703097691e-16
China,Activity,"Composting of paper and wood, incl. land application",9.657364877807034e-15,1.5858194833137943e-15,8.688985315569087e-16,1.1065246369851997e-16,1.3155615794390176e-16,1.7454374212553203e-16,2.0674800413095525e-16,8.004689458592163e-17,6.549750366201628e-17,1.986182114186881e-16,4.2341804619816224e-17,6.248062532028452e-17,5.842230252328134e-17,5.704928495993103e-17,1.1240690323795867e-16
