Region,,,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK
Level,,,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity
Item,,,Production of photovoltaic plants,Production of onshore wind plants,Production of offshore wind plants,Production of electricity by Geothermal,Production of electricity by biomass and waste,Production of electricity by coal,Production of electricity by gas,Production of electricity by hydro,Production of electricity by nuclear,Production of electricity by petroleum and other oil derivatives,Production of electricity by solar photovoltaic,Production of electricity by solar thermal,"Production of electricity by tide, wave, ocean",Production of electricity by wind,Production of electricity nec
China,Activity,Cattle farming,2.1929410380787586e-09,8.524233183017325e-10,5.019159061766802e-10,1.9485989882007362e-10,1.3673032350817607e-10,1.5702401763946834e-10,1.588417428561493e-10,8.753283693785208e-11,6.661259412050623e-11,1.6397286976069992e-10,7.371390644572375e-10,2.1512877441107616e-10,5.492802931173993e-11,1.7324028487398422e-10,1.1191713365051386e-10
China,Activity,Chemicals nec,2.499440926222433e-06,5.353789098010569e-07,3.134140135141807e-07,2.7882236477837754e-07,1.0363118718957897e-07,9.144390080147725e-08,9.806882002712357e-08,7.547884334452737e-08,4.743166419250656e-08,1.4861094934134896e-07,8.231078291776215e-07,6.400072913595153e-08,4.202728590931575e-08,1.1287878973205512e-07,8.56648121580236e-08
China,Activity,"Collection, purification and distribution of water (41)",4.815880492052979e-09,1.1533099838094196e-09,6.340069011927793e-10,1.1557499056346457e-10,9.782507809129483e-11,1.1919027558676697e-10,1.2488069893405696e-10,6.196034766522296e-11,5.4928975362338474e-11,1.1489256102088038e-10,1.573008844144119e-09,1.3441556410965748e-10,4.230580751674851e-11,2.0031099639183567e-10,8.56526748130964e-11
China,Activity,"Composting of food waste, incl. land application",1.2775000419845028e-09,3.5181614864346603e-10,1.9492676710996678e-10,3.9075510047609765e-11,4.4394890898523344e-11,1.4155396891679041e-10,5.713329372709626e-11,2.8457900346981572e-11,2.47417336754728e-11,4.568013214800373e-11,4.2246699921334453e-10,9.059729361058317e-11,1.6704005232265676e-11,6.951980945983369e-11,3.8754098620410393e-11
China,Activity,"Composting of paper and wood, incl. land application",2.5569822949186024e-10,3.7375445905609586e-11,2.162768985341344e-11,4.347215958650346e-12,3.8579800546440526e-12,6.631338150787246e-12,6.6091819253508456e-12,2.378097023408499e-12,2.02615022089753e-12,4.5357457616194524e-12,8.330105991062841e-11,1.9526401959764248e-11,1.6678171806261041e-12,6.8650017192473204e-12,3.314487784596951e-12
China,Activity,Computer and related activities (72),3.4769161900107417e-08,1.9503979081653675e-08,1.103024165118339e-08,1.6488982473689951e-09,2.1416682981366292e-09,2.2996101750351814e-09,2.4969575833602773e-09,1.2862241845103848e-09,1.2305533427632782e-09,2.06047437043929e-09,1.1846455497562845e-08,2.136818863478977e-09,8.502437525102926e-10,3.72972983444091e-09,1.8310278715284795e-09
China,Activity,Construction (45),8.743128608198611e-10,2.439777935979532e-10,1.8429137491845198e-10,4.785921743121682e-11,8.845311557769489e-11,1.1473705679763941e-10,7.722602384282985e-11,8.486487988719419e-11,6.683274676122053e-11,8.744540872490468e-11,3.4296325886621126e-10,9.51620221874644e-11,2.474376320139404e-11,1.0644551229632502e-10,1.0398001447972149e-10
China,Activity,Copper production,5.781907223945925e-08,3.081065174028694e-07,1.3912693388950683e-07,6.050156743336854e-09,8.722481474152196e-09,1.1178215036962501e-08,1.0798057871924976e-08,5.389752528885367e-09,5.133295173676126e-09,8.446648814559012e-09,2.1145619115311675e-08,5.366475362353045e-09,3.4472043829674814e-09,4.2240250366970136e-08,7.895936023490076e-09
China,Activity,Cultivation of cereal grains nec,2.4313781872416743e-08,5.384611646705848e-09,3.0562516841920985e-09,6.512187742681135e-10,5.65741525370415e-10,8.988841649265665e-10,9.551386234758263e-10,3.4410455870532997e-10,2.9493305438897657e-10,6.606388241628516e-10,7.963474670638154e-09,2.6080731040333763e-09,2.5655951796763267e-10,9.842995954839277e-10,4.897722446886295e-10
China,Activity,Cultivation of crops nec,5.020518454574827e-08,1.4271171894290615e-08,8.06108858488659e-09,2.7471567654219306e-09,3.831671735543691e-09,2.4006633900576382e-09,2.1806124289832787e-09,1.1533777635204043e-09,8.847014857169411e-10,2.135314819123988e-09,1.6551968169922338e-08,3.2932297243843366e-09,7.204878184949651e-10,2.6808301168386396e-09,1.482948492225251e-09
