Region,,,China,China,China,China,China,China,China,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,EU27+UK,RoW,RoW,RoW,RoW,RoW,RoW,RoW,USA,USA,USA,USA,USA,USA,USA
Level,,,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Item,,,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation,Changes in inventories,Changes in valuables,Exports: Total (fob),Final consumption expenditure by government,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Gross fixed capital formation
China,Sector,Construction (45),0.0,0.0,0.0,0.0,19073778500.039234,0.0,1909105374827.5308,464507.9171673003,0.0,0.0,217662.13909654724,43193710.11792867,8.691075567465411,1083962371.4937475,8498.87179788285,0.0,0.0,363059.6604476766,28492015.331395764,4386.475013883585,4390254245.096575,0.0,0.0,0.0,0.0,0.0,0.0,172658744.49604687
China,Sector,Copper production,1326318241.4553905,0.0,0.0,0.0,0.0,0.0,0.0,2355330.491982899,0.0,0.0,0.0,0.0,0.0,1613800.6809212952,5815109.30560725,0.0,0.0,0.0,0.0,0.0,93828926.50120187,722118.1114153572,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cultivation of cereal grains nec,562424216.7749496,0.0,0.0,1595583408.444847,8710911112.807009,1276952438.6968677,0.0,64134.774991122336,0.0,0.0,79.31136382639762,1064479.333137574,372.61082672506546,0.0,19964.082139136837,0.0,0.0,1311.2480501528362,14752082.909847833,835.7788408944368,15599.33977669418,3314.6562952967265,0.0,0.0,0.0,49235.08558694239,0.0,0.0
China,Sector,Cultivation of crops nec,858508387.4810805,0.0,0.0,581832106.6069707,1593768715.758532,291586735.7212296,0.0,10416837.952409381,0.0,0.0,8539.832587830902,177321595.66723022,127356.09856256103,5201671.480361151,7493506.418318537,0.0,0.0,59410.78285963644,935720373.0586612,30381.730677490614,91238626.71237443,5006950.907120903,0.0,0.0,0.0,72.87825935247398,0.0,0.0
China,Sector,Cultivation of oil seeds,1053819918.9443573,0.0,0.0,0.0,0.0,1858607029.0133724,0.0,2146207.1283209813,0.0,0.0,852178.56080604,60342587.86047732,9209.92275611261,0.0,2227512.2657309473,0.0,0.0,6617.2502133204525,60279809.06611733,5691.1373455133735,0.0,282026.0292307658,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cultivation of paddy rice,2331786281.52223,0.0,0.0,188862611.9311342,0.0,0.0,0.0,170.64327237044296,0.0,0.0,0.0,212007.12897026143,0.0,0.0,816025.1596964315,0.0,0.0,1.2046172149409575,3747.7587606262687,9.242708298799734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Cultivation of plant-based fibers,111428491.39456187,0.0,0.0,118266009.53758803,0.0,53838535.38288106,0.0,606.1282234885279,0.0,0.0,0.0,316346.04643811117,0.2782995820551426,0.0,11390.411753727394,0.0,0.0,9696.398989560077,32647.889282414755,32.02636016146883,0.0,15704.52991909212,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Cultivation of sugar cane, sugar beet",834286789.7125537,0.0,0.0,1146860739.5769477,0.0,2528384414.4954543,0.0,428.7712326569367,0.0,0.0,0.0,0.0,0.0,0.0,0.01729766151225629,0.0,0.0,0.007750137612943226,1083.9874997445213,1280.569030766328,0.0,228.55117003752707,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Cultivation of vegetables, fruit, nuts",7165804053.689475,0.0,0.0,0.0,78800718718.61418,3046728086.3136396,0.0,3163662.2191838585,0.0,0.0,69806.77296242447,300256685.62995255,953006.3898127717,0.0,7433983.474907971,0.0,0.0,16734.890410632626,4258132293.3384223,8042.367633989329,98963159.45140328,4539.15489978629,0.0,0.0,0.0,187499011.9398167,0.0,0.0
China,Sector,Cultivation of wheat,858038461.4217982,0.0,0.0,2879433471.503816,0.0,2289163203.0171347,0.0,324.53855125777324,0.0,0.0,0.0,199260.47774200482,0.0,0.0,25629.341835488434,0.0,0.0,15.348967086995524,3493494.107328183,18.295643605593657,1065.2448003667478,10286.741690417308,0.0,0.0,0.0,35226.82233661524,0.0,0.0
China,Sector,Distribution and trade of electricity,0.0,0.0,0.0,0.0,14089859169.275078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Education (80),0.0,0.0,0.0,226728400023.88467,42503504797.79186,241582136297.9048,0.0,902.7935358757802,0.0,0.0,40414026.62685067,7593364.332757673,12305984.078462506,0.03922953239536048,0.0,0.0,0.0,55049730.088595785,27700426.05187884,11184447.204533372,16881.06227965481,0.0,0.0,0.0,0.0,6722954.362181829,0.0,0.0
China,Sector,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1732013176.4030404,0.0,0.0,0.0,9124.9201399123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2817.3233404671532,0.0,0.0,0.0015547605503779338,0.0,1.4309514971995883e-05,148155827.55884618,187395.85241884855,0.0,0.0,0.0,0.0,0.0,4303283.326212299
China,Sector,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1962248502.9517071,0.0,0.0,0.0,0.0,0.0,0.0,465.8840901117972,0.0,0.0,0.0,0.0,0.0,253.6487391226345,11461.972619769815,0.0,0.0,35571.01710718761,285243532.31159204,5882.978941571383,687281411.218665,223.64064776516048,0.0,0.0,0.0,0.0,0.0,25916.596251044873
China,Sector,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,"Financial intermediation, except insurance and pension funding (65)",0.0,0.0,0.0,14968459.567038225,13749333691.706682,53112102.30399217,0.0,0.0,0.0,0.0,149662.06191349393,19707421.848081864,153132.4947593989,97953.32292765225,0.0,0.0,0.0,859640.3582134095,68807448.91858737,26028.218405050273,0.0,0.0,0.0,0.0,0.0,4972141.926831284,0.0,0.0
China,Sector,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1422045351.9081032,0.0,0.0,1865102.8222904676,0.0,6451223.909116261,0.0,41161.330642860936,0.0,0.0,5044.056762806903,6388346.581086163,1705.4642504255987,10953.876492200721,1855573.0783669865,0.0,0.0,6000.840081422808,526004230.346784,4565.620350822436,26.882924439005794,12294.049879498536,0.0,0.0,0.0,1508.660414611719,0.0,0.0
China,Sector,"Forestry, logging and related service activities (02)",567214374.5625745,0.0,0.0,19346121.19279825,5660588545.259329,13628424.329125544,0.0,1182412.427787957,0.0,0.0,55321.85929751958,6151262.301452043,110007.88884394958,447094.6420467363,8621466.75953297,0.0,0.0,49390.772440477216,11413063.324770516,28806.687662221855,41465.140803418486,75741.1654848066,0.0,0.0,0.0,0.0,0.0,0.0
China,Sector,Health and social work (85),0.0,0.0,0.0,146310173066.8136,114074886224.81082,156246904668.24695,0.0,35968.85310227944,0.0,0.0,53329954.234252855,19338112.09012341,30003847.729208287,0.0,0.0,0.0,0.0,57587369.83912236,61680701.060882784,45437176.77319903,5463.922879129344,0.0,0.0,0.0,0.0,14556697.138918463,0.0,0.0
China,Sector,Hotels and restaurants (55),0.0,0.0,0.0,0.0,125942030832.30614,0.0,0.0,2139.534415104423,0.0,0.0,1667151.012983523,5898218035.914584,1416024.0796361084,0.0,170644.70875667763,0.0,0.0,3827294.4729716307,6530181843.145879,1265637.0438357594,71949.909634798,0.0,0.0,0.0,0.0,5118656894.654589,0.0,0.0
China,Sector,Incineration of waste: Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.3587227298734,0.0,0.0,81518.61438787209,950725.9455230932,7786.3105870296495,3298.5257059956753,0.0,0.0,0.0,547033.0493847801,1310632.2367045176,4441.690878493707,0.0,0.0,0.0,0.0,0.0,484754.6203915024,0.0,0.0
